"","GSM1647628","GSM1647629","GSM1647630","GSM1647631","GSM1647632","GSM1647633","GSM1647634","GSM1647635","GSM1647636","GSM1647637","GSM1647638","GSM1647639","GSM1647640","GSM1647641","GSM1647642","GSM1647643","GSM1647644","GSM1647645","GSM1647646","GSM1647647","GSM1647648","GSM1647649","GSM1647650","GSM1647651","GSM1647652","GSM1647653","GSM1647654","GSM1647655","GSM1647656","GSM1647657","GSM1647658","GSM1647659","GSM1647660","GSM1647661","GSM1647662","GSM1647663","GSM1647664","GSM1647665","GSM1647666","GSM1647667","GSM1647668","GSM1647669","GSM1647670","GSM1647671","GSM1647672","GSM1647673","GSM1647674","GSM1647675","GSM1647676","GSM1647677","GSM1647678","GSM1647679","GSM1647680","GSM1647681","GSM1647682","GSM1647683","GSM1647684","GSM1647685","GSM1647686","GSM1647687","GSM1647688","GSM1647689","GSM1647690","GSM1647691","GSM1647692","GSM1647693","GSM1647694","GSM1647695","GSM1647696","GSM1647697","GSM1647698","GSM1647699","GSM1647700","GSM1647701","GSM1647702","GSM1647703","GSM1647704","GSM1647705","GSM1647706","GSM1647707","GSM1647708","GSM1647709","GSM1647710","GSM1647711","GSM1647712","GSM1647713","GSM1647714","GSM1647715","GSM1647716","GSM1647717","GSM1647718","GSM1647719","GSM1647720","GSM1647721","GSM1647722","GSM1647723","GSM1647724","GSM1647725","GSM1647726","GSM1647727","GSM1647728","GSM1647729","GSM1647730","GSM1647731","GSM1647732","genes"
"SH3KBP1",7.730290366,7.145928449,7.555372045,7.192951347,7.141218729,7.589314276,6.639000227,7.080338386,7.141601235,7.704212132,7.821577294,7.658233471,7.443837775,7.976115466,6.720753075,7.355969009,7.360523663,7.117719173,7.645138513,8.211744484,7.822273359,7.835992821,8.030584626,7.922195764,8.451907114,8.214518054,8.038891884,7.826133582,6.933850407,7.54918293,7.019705285,7.420555582,6.94287929,7.912673477,7.67325118,7.182049256,7.203273747,7.835180515,7.417605254,7.461757353,6.921452458,7.08592002,6.902841876,7.756000968,8.073983006,7.785801438,7.646038905,7.505847277,7.473653533,7.667988738,6.7629351,7.61877032,7.588026926,7.296325403,7.833956878,7.655913635,7.329295762,6.871705176,7.199823642,7.01858459,7.621217056,7.536201039,7.431557137,7.199674805,7.275109809,7.776308516,6.751156169,7.873884747,6.506352654,7.875953247,7.532782899,7.778106924,7.717087573,7.503794106,7.048807454,8.040952484,7.633573217,6.914733134,7.292345558,7.943771368,7.447393753,7.227639851,7.169493395,7.597822278,7.930246688,7.570458178,7.284109334,7.458993795,7.292101536,7.671563141,7.552252143,7.581719146,7.266105986,7.61632396,7.807878932,7.726658201,7.484033499,7.67714873,7.348673152,7.758504975,7.163923873,7.133946181,7.517346179,7.786564281,7.13092819,"SH3KBP1"
"PAGE4",7.358412983,7.41120091,7.661058729,7.421006136,7.219174617,7.318747355,7.594474826,7.23817174,7.381670582,7.589334145,7.527247906,7.164108887,7.403934676,7.315804848,7.593846968,7.418414132,7.366762109,7.434207185,7.512676805,7.553486805,7.552828764,7.479451703,7.289481703,7.54655403,7.387423811,7.498787347,7.453961238,7.535388431,7.275766082,7.338142117,7.644000699,7.546359493,7.418730707,7.248341348,7.703760752,7.45481987,7.397441346,7.355383863,7.416225517,7.379079539,7.381816839,7.403940921,7.496362192,7.340237833,7.44660974,7.405782559,7.453177552,7.548806703,7.347191564,7.620819342,7.649273068,7.159854818,7.006029193,7.453848981,7.529334265,7.371127638,7.182407687,7.46255652,7.469469755,7.635544855,7.403120903,7.351159696,7.670067205,7.383731116,7.390335663,7.529569717,7.752139916,7.558771008,7.305450134,7.792782477,7.648309886,7.542767606,7.456173328,7.596302906,7.653591297,7.440128134,7.644914014,7.322295636,7.284146976,7.510898799,7.468948532,7.499843804,7.650674915,7.274507627,7.401914083,7.445512182,7.626590079,7.571380764,7.238079838,7.416778744,7.337539807,7.717940141,7.839865005,7.547735941,7.398276191,7.538238406,7.595250975,7.396254384,7.384507941,7.637862027,7.213879046,7.60704971,7.359530039,7.654825608,7.511609364,"PAGE4"
"MARK4",7.476463711,7.582690263,7.575606709,7.602396348,7.336635191,7.441028727,7.683290193,7.478736253,7.35084934,7.262649116,7.556026441,7.663105405,7.646234149,7.935571222,7.620005766,7.460723406,7.613103275,7.065900008,7.528609424,7.209708004,7.383307246,7.485532019,7.041322582,7.574245945,7.074610917,7.425603607,7.528943703,7.077188795,7.575298794,7.297771892,7.381941533,7.475580009,7.562229924,7.631136996,7.86661484,7.585564991,7.59307922,7.491562093,7.462761794,7.246026483,7.588302556,7.62118717,7.588459996,7.525630695,7.457694506,7.734218383,7.400337595,7.43374798,7.560331553,7.705908418,7.699694822,6.757695446,7.176188932,7.395408534,7.28142592,7.588009293,7.32294201,7.388835949,7.624825725,7.54496941,7.093610903,7.814498931,7.205665247,8.012546099,7.689872134,7.454341091,7.471821403,7.231538081,7.148526964,6.973752334,7.289899921,7.434375953,7.635455229,7.309616147,7.635589666,7.181725454,7.452960738,7.493249508,7.305579975,7.087925318,7.631319115,7.407858567,7.519029251,7.420486202,7.147574087,7.644522124,7.454441948,7.423277289,7.502450585,6.964418964,7.430011365,7.528305407,7.489640628,7.318477503,7.650921687,7.345670077,7.438251578,7.529544762,7.308769593,7.195273946,7.304379125,7.280231152,7.538706892,7.723030447,7.563005221,"MARK4"
"RPA4",7.692310992,7.795189443,6.871557671,7.378719188,7.472954263,7.583207041,7.186527711,7.19448789,7.26465212,7.614774865,7.172343639,7.805432607,7.452340082,7.559194189,6.953884934,6.971008735,7.006471798,7.597541119,7.525924755,7.816297326,7.591999768,7.866367252,7.439942019,7.501666337,7.82367156,7.711661829,7.852412548,7.827731448,7.603240585,7.40004376,7.548681739,7.658812488,7.503548048,7.894814552,7.93247786,6.853119826,7.363982274,7.355390006,7.508624985,7.529529489,6.831286788,6.947225822,7.085831199,7.801736801,7.342335979,7.841082742,7.814195676,7.16951109,7.299891917,7.154788161,7.365739914,7.515956394,7.437086392,7.265434235,7.642161608,7.545370619,7.603585202,6.916501488,7.304073296,6.88339216,7.197886192,7.340521132,7.462868691,6.75853183,7.130465399,7.128490047,6.791606097,8.036451776,7.380334586,7.581954721,7.192277626,7.833446102,7.692238019,7.521312823,7.202931383,7.444225451,7.505658653,7.440651236,7.706607065,7.386237504,7.155680525,7.231079759,7.46763574,7.499993353,7.263326582,7.6062849,7.523574633,6.889607187,7.710503437,7.382251051,7.510344919,6.941441572,6.899075131,7.976995683,7.635039027,7.422199914,7.521265958,8.055845515,7.768649367,7.309660041,7.520307904,7.500701664,7.300051311,7.82222358,7.589589072,"RPA4"
"CX3CL1",6.798141844,7.425982896,6.605032111,7.703540929,7.469560436,6.961422923,7.25673121,7.825929558,7.05321727,7.06758424,7.192670603,7.216006519,6.952760016,7.452708213,7.169686334,7.175475591,7.341376257,6.47135876,7.136570048,7.272098433,7.491451445,7.22893129,7.489023736,7.084735102,7.371380035,7.304694548,7.457086221,7.36419515,7.48261527,7.842885915,7.570399296,7.669736781,7.968552953,7.73875612,7.511096335,7.418640168,7.541161572,7.432751487,7.585147145,7.933006373,7.507690434,7.435890573,8.049883683,7.559207141,7.389661666,7.606263412,7.471621246,7.27324883,6.872399233,7.114275645,7.209011082,7.215377765,7.750202037,7.573014474,6.916042803,7.74762395,7.553523571,7.596912017,7.711406231,7.325137702,7.180801321,7.308087104,7.016251613,7.276844202,6.946871254,7.34123983,6.887003694,7.353098007,7.646234218,7.824978819,7.510262244,7.544648115,7.34279319,7.365213331,6.920886874,7.287238703,7.358049881,7.72786031,7.623872312,7.674394051,7.128845807,6.910137676,7.078630013,7.23153643,7.441497603,7.736795986,6.970448808,7.109028557,8.052594202,8.1211012,7.325798766,7.245219849,7.384581807,7.408862679,7.427564057,7.273370489,7.560851748,8.601637137,7.40700585,7.195857504,7.093115851,6.802232538,7.304835268,7.566159321,7.620843455,"CX3CL1"
"SLC35E1",7.460437813,7.694998691,7.224197452,7.151123131,7.622065026,7.495335427,6.494051261,7.592602489,7.107567631,7.488869978,7.769467089,7.651504194,7.090367262,7.291029181,6.849374114,6.771937175,7.067631127,7.342429799,7.517091801,7.594462368,7.327758226,7.872198915,7.349490736,7.087710707,7.687504005,7.588666254,7.381195619,7.263907498,7.481322546,7.362433912,7.640711591,7.400196396,7.67063359,8.01465792,7.478712878,6.958125867,7.094169103,7.543715869,7.636015791,7.398723499,7.100863283,6.869669632,7.534635696,7.379700682,7.391493411,8.024665982,8.056630533,7.525603854,6.910711472,6.893185823,6.793769728,7.428506927,6.831735822,7.421568585,7.420197793,7.125933008,7.762038715,7.282989702,7.700398432,6.654677363,7.240242212,7.170303899,7.458128712,6.57254052,7.345360637,6.938494804,7.399535168,7.112315767,7.844446889,7.637911003,7.304866667,7.61057845,7.495123055,7.380705557,7.665044474,7.009915905,7.282135325,7.780997569,7.192728317,7.449224272,7.15610739,6.923332387,7.491171662,7.333592789,7.453819855,7.738192804,6.655778343,7.404457972,7.504132646,7.365926891,7.216704629,7.184918061,6.877972296,7.687738132,7.238689833,7.524016671,7.147649089,8.085454324,7.425026616,6.899206243,7.311793564,7.581807153,7.398021925,7.54194247,7.315161751,"SLC35E1"
"HTR1F",7.151036805,7.542290139,7.385745068,7.451912297,7.696224992,6.978841033,7.554088169,7.39859985,7.591282181,7.11314653,7.095329099,7.311885169,7.183667918,7.47262132,7.399044098,7.394921095,7.469126404,7.253872916,6.923790806,6.961183449,7.299034705,7.304487563,7.043618842,6.9407938,6.814351678,7.01972065,6.910112888,7.019003248,7.80341325,7.35243572,7.354300848,7.417862277,7.518851695,6.951157071,7.310372042,7.492483943,7.473869926,7.185323195,7.657501672,7.504449409,7.448965024,7.249206304,7.606067004,7.21363097,7.409391753,7.213054741,7.224640818,7.40941519,7.540487149,7.177786968,7.297957518,7.193049223,7.560474481,7.595322934,7.140445953,7.510297199,7.651482246,7.548375828,7.51855577,7.151382887,7.593214797,6.939824443,7.445930155,7.803450824,7.519276926,7.534370639,7.435476496,7.233754754,7.295530833,6.547269849,6.920825579,7.367555253,7.115706863,7.314018278,7.202895578,7.108444727,7.099484983,7.479069274,7.465721365,7.294031213,7.173142999,7.423754888,7.416064753,7.388637206,7.377323593,7.580876228,7.062299085,7.288852517,7.068504237,6.874169919,7.035110156,7.291630374,7.198878002,7.414478636,6.980431773,7.626611908,7.163730006,7.547336627,7.274127892,7.137702464,7.763844712,7.046417677,7.216549897,7.011194944,7.610381538,"HTR1F"
"DNAJB2",7.884340713,7.286207578,7.21512467,7.574727774,7.259992224,7.518968702,7.071031102,7.204612237,6.905882819,7.716744223,7.751394761,7.686486732,7.556806137,8.004834016,7.122514961,6.839270329,7.13609561,6.671640011,7.833488873,7.527799228,7.239640986,7.951154702,6.792521617,7.7357449,7.560413518,7.558228606,7.542298437,6.953201047,7.002531097,7.227316073,7.000426478,7.189639606,7.386242787,7.785201939,7.38396087,6.853096714,7.318078747,7.549947463,7.283784241,7.216309228,7.057923447,6.930944295,6.93960746,7.401136774,7.366659941,7.840726576,7.921836307,6.693191335,6.997376568,7.584477478,7.046745798,6.738427864,7.01502622,7.102836792,7.73319443,7.293225564,7.149585973,6.92864833,7.340668976,6.922884471,6.791134758,7.659049326,7.372380549,7.053191241,6.918090519,7.535767469,7.008586874,7.348349529,7.519187192,7.688205096,7.405670801,7.492418165,7.511066882,7.412143683,7.710270903,7.174328082,7.154517664,7.521966427,6.85861393,7.33674091,7.040136808,6.540780272,6.999790852,7.108477878,7.438718844,7.49362211,6.900565616,6.806521259,7.914841427,7.26129737,7.231308093,7.113930831,6.903387965,8.177401588,6.880802079,7.162630344,7.357787427,7.655752297,7.237073161,7.553631131,7.314540959,6.9043126,6.999558305,7.350697188,7.888756679,"DNAJB2"
"TAGLN2",7.480861819,7.355635068,5.686948278,6.444091172,7.622660768,7.473619538,6.203283787,7.026062553,6.181505212,7.728095998,7.793142501,7.589709283,7.150557359,7.052730953,6.455685199,6.623177175,6.837345225,6.038827826,8.06763722,8.286703077,7.440091728,8.461788107,7.523244144,7.523234671,8.738446992,8.128779979,8.055225002,8.257264843,7.30812671,7.344632466,7.050176075,7.105598429,7.506023583,8.430216154,7.57795217,7.6678436,6.896818699,7.397467036,7.290576491,7.959813542,6.810488849,7.246947924,7.287903019,8.44134566,8.145143713,8.043965835,8.119988986,6.181702226,6.12717727,6.652714307,6.561921234,7.433176588,6.932002161,7.020422353,7.730304423,7.080407802,7.687845625,6.713593951,7.67280625,6.297766363,5.792811007,7.075343201,6.159674812,6.617217216,7.351322954,6.859428334,7.584100294,7.632355892,6.567612814,7.744176972,6.960027691,6.654091309,7.825570764,7.700594039,7.892093614,7.973235832,7.639604476,7.031643821,7.685175893,6.928259244,7.026274405,6.762474723,7.09602763,6.674228066,7.617693416,7.284052605,6.675919667,6.934587672,7.306897963,7.527804688,7.307309272,7.00705442,6.800777684,7.807259209,7.461821619,7.10175178,7.881491575,6.999796867,7.699979301,6.896055444,5.846521287,6.939330336,6.958524572,8.116055483,8.005406007,"TAGLN2"
"WIZ",6.989954855,6.986251408,7.799695069,7.054215619,7.115082023,7.322601242,6.909027986,6.904523569,7.391945656,6.854018012,7.033213775,7.04559049,7.2796167,7.294629803,7.182137269,7.373608194,7.183361107,6.703139393,7.429090554,7.063390805,7.186003095,6.986207359,7.266314239,7.154705173,6.958830656,7.016770727,7.13165753,6.883828418,6.691781647,7.467139474,6.818887263,7.429028084,6.712852778,7.047308974,7.196266417,6.979342275,7.220168038,7.403007479,7.090250847,6.878533034,6.923374444,7.451207547,6.968670088,6.736720598,7.081139697,7.103589514,6.727465455,7.49354684,7.538400499,7.081266922,7.110325458,7.104894919,7.241608477,6.821243991,7.359583202,6.938524803,7.009487254,6.784731887,6.686120372,6.946114921,7.908129065,7.112191886,7.421314808,6.726885049,6.908662799,7.234563887,7.006382766,7.423253557,7.135270267,7.422488982,7.280616469,7.199587452,7.06865528,7.137832802,7.293731095,7.344605381,7.038825474,7.536496466,7.11951866,6.758501128,7.220822739,7.117679138,7.298920159,7.331193353,7.524833892,6.93766224,7.358762826,7.540538976,6.565324183,6.98636596,7.414657159,7.553999746,7.257308061,7.414620837,6.851566426,7.137123611,6.992058043,6.508241186,7.319347288,6.976502114,6.951523133,7.481114546,7.42989511,6.616786532,6.681088891,"WIZ"
"LGI2",7.245279546,7.302163672,6.711729284,6.89621135,7.409525574,7.309420364,6.602117828,7.164014822,6.737039088,7.437497106,7.151693447,7.258834552,7.586923079,7.015748596,6.963083153,6.617338893,6.613014049,6.74651948,7.253912011,6.899852394,6.482561044,7.434108662,6.981626926,6.449588652,6.863367635,7.303038184,7.919705822,7.063547318,6.994394486,6.546409832,7.086061089,7.431981172,7.124569172,8.269318793,7.318923915,6.988679741,7.16686006,7.188768931,6.602235228,7.215252154,7.319658813,6.905731437,7.000587969,7.118895338,7.236475692,7.846341257,8.13358959,6.355112728,6.810088708,7.692526653,6.947342963,6.493360081,6.677603979,6.839724867,7.317948622,7.563850431,7.482765836,7.435074248,7.252082781,6.998198901,6.623807248,7.554504935,7.506318365,6.897599002,6.64116287,6.759459086,7.264830078,7.224401017,6.751466374,6.808199038,8.036548771,6.625811594,7.300971089,6.699164468,7.548699215,7.244888289,6.852659357,7.823203847,7.208150893,6.886296751,6.57766112,6.965839005,7.133099102,7.251996745,6.890658399,7.062048812,6.19215529,7.480882401,8.076317902,7.452734759,6.893771854,7.519790726,7.826465811,7.205495174,7.171210724,7.366997176,7.699544679,6.535691974,7.256655129,7.404315878,6.860329468,6.213921414,6.3282952,7.446831248,7.427506939,"LGI2"
"PGAP3",6.936700435,7.394363237,7.039385611,7.324045839,7.121536921,7.022129728,7.72764385,7.389956966,7.067403266,6.912189513,6.834248382,6.874796356,7.11797353,6.924179954,7.628494284,7.157137101,6.97188601,7.077294602,6.97138263,6.817041563,7.075673747,6.639168759,7.019551961,6.896603642,6.823444086,6.855641357,6.849307977,6.803130561,7.203356541,6.875497849,7.361076348,7.098982357,7.124685333,7.035388438,7.060014031,6.995998247,7.349592966,6.917593914,6.903011035,7.251519849,7.445304442,7.710214663,7.339272563,7.083449792,7.054425844,7.072513789,6.921376827,7.428587848,6.98169503,7.133623243,7.425093243,6.893604182,6.943755249,7.153466276,7.004076839,7.202244535,7.010727818,7.534934797,7.648914387,6.930135848,6.771793451,7.429168149,7.049686902,6.98014776,7.394737578,7.31691818,7.698411991,6.73036232,7.006779877,7.185431493,7.272987596,6.960149125,6.941913058,6.607047392,7.599434952,7.356190595,7.069534811,7.311863481,7.054826051,6.879377408,7.020077475,6.978913669,7.192849203,6.826733741,6.945868113,7.121118348,6.763327594,7.266733918,7.019096213,7.122255045,7.24923627,7.122986626,7.21167963,6.65422976,7.164831397,7.003502925,6.81954489,6.962159282,7.07082782,7.083187297,7.122758892,7.051359233,7.25136232,6.929183174,6.960897071,"PGAP3"
"IKZF3",6.495547489,7.300326096,7.299825043,6.813591583,7.141834777,6.633440521,7.258688771,7.054290493,6.848689064,6.731935867,6.599029855,6.676393909,6.742668452,6.945170829,7.149887742,6.921571751,7.050312488,7.074387364,7.008484907,6.930124817,7.023307768,6.760950671,6.91354472,6.959331234,6.796837152,6.884649331,6.756404652,6.92048058,7.156055337,6.837361716,7.200057921,7.128026247,7.435302543,6.95660648,6.861163246,7.036931327,7.068536063,6.95344805,6.989417258,7.254300355,7.325581209,7.243620809,7.014012656,6.703127742,6.856245147,6.700361128,6.762461397,7.168284332,7.283925536,7.068658946,7.308634452,6.793511634,6.92349258,7.171920121,6.834555363,7.045841212,6.838682503,7.172591069,6.957195735,7.098660775,7.252239856,6.766640924,7.105158341,7.052410915,7.062656494,7.078995042,7.226596324,7.029941008,7.174417882,7.231439441,7.442102052,7.094151245,6.898013866,7.177602515,6.736013269,7.220767643,6.834511525,6.935310086,7.368409314,7.187950275,6.801420609,6.768683178,7.112158059,6.998102674,7.306299165,6.892656422,6.912091577,6.925416484,7.013556163,7.35089904,7.17881753,7.050594184,7.192528697,7.090305437,6.99877009,6.972048023,7.0413037,6.825365779,7.014592138,7.195036242,7.097644311,7.041626904,7.051499192,7.073731525,7.011393492,"IKZF3"
"NAALAD2",6.829459787,7.090461537,7.160321621,6.932942278,7.056201473,7.054014737,6.900884703,7.451993186,7.152836032,7.083898167,7.265428711,6.999648957,6.951654079,6.403717123,7.198009264,7.054118181,7.19357968,6.198830627,6.661537604,6.775283555,6.864944575,7.04048676,6.711600876,6.28960848,6.837660901,6.984791222,6.943272173,6.154610357,7.198499977,7.196174738,7.245551642,6.904029546,6.941095815,7.194993412,6.929548667,7.172886968,6.697825101,7.099705191,6.991828408,6.703577284,6.887379814,6.922934174,7.107052627,7.181181601,6.714392155,6.956894008,7.097996649,7.06837013,7.447014584,6.431739564,6.814388809,6.576542697,7.018786973,7.261220487,6.924826885,6.716019773,7.536011119,7.46222589,7.282205733,6.712214647,6.630165498,6.679545901,7.39267312,7.478552094,7.028605649,7.101956846,7.167471647,6.955400604,6.684789558,6.658361681,6.849492294,6.759851837,7.370175194,6.798220994,6.708162049,7.349308752,6.502526355,7.005292878,6.879369473,7.048446309,6.931953821,7.370715438,7.196554265,7.298160503,7.403948421,6.846035323,7.015932199,7.1381481,6.485608957,6.39016191,7.318941662,7.483906748,7.471888193,6.785157818,6.947402201,7.171762562,6.878782119,5.93993015,6.980968133,7.107694029,6.989748977,7.663247189,6.957118672,6.74099688,6.727181674,"NAALAD2"
"PER2",6.778482076,7.14079209,6.880824208,6.700964623,7.494416289,7.076224948,6.785056313,7.065722333,7.022527799,6.707754882,7.024124593,7.015907741,6.762569886,7.076274246,6.492782449,6.51971722,6.893711321,6.808587746,7.048111307,7.209326925,7.052963294,7.143593209,7.107795434,6.895155452,6.665640235,6.984117342,7.175401405,6.92831332,7.008969015,6.829788886,7.043008548,6.838886331,7.249386187,7.235228905,7.052970009,6.758021233,7.066486956,6.736957088,7.101871624,7.972863963,7.260235538,6.801164236,7.078629879,6.924453249,7.042046989,6.737756775,6.976016249,6.809016037,6.879492891,6.823194524,6.767980445,6.746815276,6.882356468,6.961416027,6.772601553,6.72002527,7.094183951,6.93794997,7.300422659,7.029257943,6.759244057,6.9162133,6.516208393,6.713934324,6.736991165,6.93752279,7.150958818,7.03344981,6.823060925,7.019517311,7.217917083,7.401319183,6.905797133,7.023028401,7.048851579,6.763949494,6.958888747,7.307932553,7.473909195,6.899224791,7.09635617,6.77538982,6.67440553,6.879192252,7.475062637,7.084539322,6.801188274,6.755269615,7.02282319,7.55839718,6.841851688,6.588328894,6.832753051,7.179838462,7.04835329,7.276650599,7.031796677,7.367024889,6.717130555,6.851438747,6.798000551,6.937574544,6.622866175,7.221053497,6.852596434,"PER2"
"CCS",6.848437185,6.876005725,7.40694321,7.013292071,7.044133883,7.065525543,7.285371177,7.387369109,6.995827406,7.301264679,7.605992344,7.159552493,6.872463302,6.70169062,7.304925649,6.923706007,7.05822754,7.101792157,6.613133099,6.742692764,6.696201258,6.533164065,6.454051441,6.61211716,6.487061832,6.027802644,6.583441609,6.630997559,7.304835647,7.776676558,6.832070755,7.207380086,7.257945683,6.679354889,7.230126346,7.128091744,6.830700616,7.210720715,6.96182865,6.682038908,7.138622296,7.022412408,6.823257392,6.587531756,6.541295837,6.634671091,5.949976289,7.189360162,7.611645462,6.731165058,6.781033613,6.587175611,7.046668672,6.981118182,6.9142104,6.901891175,7.533736051,7.126248805,7.072415487,7.162431125,7.314829817,6.502974677,7.32374184,7.576220493,6.881537682,7.005717617,7.307582918,7.111666784,6.119119643,6.536277657,6.933542927,6.50194766,7.182134442,7.00361441,6.837953495,7.224403785,6.94616995,6.31807208,7.016307752,6.226075796,7.333608755,7.454999754,6.962309349,7.130221751,6.931645834,7.221919688,6.997924824,7.889731763,7.014250884,6.16392482,7.004367113,7.245977224,7.109162485,6.832389727,7.049658575,7.250945965,6.943318996,6.546423359,7.217548842,6.666253475,7.314709144,7.26590169,6.687330068,6.588227293,6.614150592,"CCS"
"BAIAP2L2",7.052070963,7.015595838,7.181315963,7.024135743,6.916220427,6.888254852,6.689972273,6.900832975,7.286230779,7.119166001,7.187317988,6.725548503,6.890411362,7.146663906,6.740104192,6.977989164,7.216987009,6.969329019,7.037795987,6.892718743,6.974513823,7.099656156,7.173284183,6.934445154,6.765319419,7.038763713,6.779120341,6.470868911,6.964465212,7.072796146,6.706248395,7.190069897,6.865686531,6.884047455,7.025317821,7.118491143,6.917222534,6.952845123,7.102012228,6.878819484,6.487050632,6.431841317,6.87348853,7.006661496,7.114325168,7.106087626,7.249925458,7.244412439,7.29235662,6.679011057,6.469998743,6.911063679,7.060581608,6.945109463,7.216011989,6.898825894,6.926891287,7.036884653,6.901873103,6.916657329,7.246352699,6.935458595,7.143800281,7.226234099,6.895308315,6.796518951,7.160655597,6.853270784,6.504915686,6.793079456,6.395611083,6.910221753,7.340869034,6.87739413,7.101505335,7.09364694,7.274215207,6.406077167,6.859239789,6.939074304,7.024959748,6.837751658,6.787622846,7.001883114,6.843499188,6.910470046,7.192190736,6.829520327,6.832706105,7.113310896,6.813826213,6.567886765,6.886292168,6.909009869,7.171068267,7.262818918,7.288492854,7.081477724,6.945138547,6.870786506,6.682707151,6.659444131,6.595490702,6.8405925,7.110657664,"BAIAP2L2"
"POMGNT2",7.048221846,6.850087182,6.502323776,7.26203282,6.771545846,7.526856538,6.814688407,6.963281168,6.65236346,7.112397229,7.686877102,7.67384109,7.104776797,7.325082688,6.770346553,6.426819723,7.102471476,6.663979393,7.449767911,6.891790476,6.89387218,7.526687491,6.231598547,7.137791598,6.60758666,7.076191384,7.252640969,6.631711767,6.971355476,6.502156714,6.913851551,6.53349968,6.830496037,7.364322635,7.310989337,6.731115096,7.083514915,7.238952712,6.615144478,6.589600573,7.129910272,6.748902398,6.806830831,7.5546756,7.259091227,7.585893707,7.509168643,6.622833643,6.381006718,6.987607349,6.802480418,6.467322258,6.583789628,6.639345743,7.000756744,7.124485471,6.975681104,6.922955136,6.912326633,6.427214615,6.379013955,7.382728033,6.996192743,6.992112285,6.958869946,7.134831055,6.779263277,6.644422559,7.15390312,6.168718056,6.184510408,7.262272275,7.454001453,6.586668587,7.315360621,6.463524935,6.833717706,7.168298983,6.700133869,6.676655431,6.673337797,7.117697202,7.234436308,7.074628528,6.649765856,6.796164924,6.391586249,6.81886314,7.275618393,6.24542643,6.967433732,6.62488551,6.745932356,6.488148316,6.599083151,6.883131933,6.861486653,7.184561421,6.613872663,6.542620907,7.135215964,7.022032269,6.889920823,6.430250339,7.399425367,"POMGNT2"
"GNA14",6.599499405,7.09807329,7.203346188,6.891593245,7.05295772,6.498121098,7.078996468,6.85415666,7.098751794,6.719727006,6.865994647,6.767902934,6.702410458,6.923677401,6.752864378,6.537270584,6.881784496,6.441842317,6.544572787,6.876475912,6.498154429,6.904424332,6.481505423,6.750311359,6.765038759,6.725408786,6.62729907,6.551975961,7.057085544,6.877595061,6.788593338,6.90404922,6.914142999,6.347278029,7.248687353,6.826848403,6.998863642,6.840547505,6.566673551,7.006999966,7.107545688,7.309258977,6.536861411,7.130511021,6.684459023,6.711935194,6.860636346,7.200117311,7.09216432,6.844010894,7.186022732,6.690337552,6.755201152,6.987494412,6.892982668,6.939408416,6.50279442,7.001866652,7.002768466,6.912243222,7.115111744,6.625968854,6.765163793,7.002705999,7.010634549,6.89365823,6.95264507,6.674194086,7.20242655,6.544460774,6.942630719,6.256420022,6.833441161,6.853772229,7.171526359,6.745306432,6.759338198,7.115180117,6.476188078,6.635323448,6.701117641,7.046409575,6.711744772,6.730774148,6.965532525,6.886202392,6.83402471,6.801326637,7.350383524,6.19859309,6.645561329,6.808919109,6.773699942,6.05873698,6.953227565,6.964977084,6.777657278,7.076687458,6.618759656,6.770731017,6.844055495,6.658969058,7.111316449,6.710960489,6.631493187,"GNA14"
"SIDT2",6.477363169,7.029849407,7.016648507,6.660030231,7.27093413,6.036576632,7.037675752,6.572027661,7.047789077,6.201130961,6.464349825,6.396998849,6.037874448,6.770764864,7.250856605,7.180394936,7.378873572,7.421841339,6.429073022,6.014624387,7.177809905,6.793632132,7.206387731,6.184275152,6.542531882,6.427646932,6.283675758,6.572646652,7.25453305,6.781099723,7.344620686,7.237799527,6.908012919,6.644223707,6.717613503,7.368607493,6.745568228,6.236013424,7.21247955,7.268931752,6.982585817,7.072453776,7.303349605,6.311185495,6.46343616,6.50198915,6.279080494,7.331469014,6.958959687,6.326187498,6.749815914,7.054555712,7.438240927,6.997658975,6.472569182,6.853753935,7.204400008,6.882946874,7.26993667,6.775938976,7.447194488,6.04883375,6.914902834,6.38594598,6.749058781,7.108552565,6.986596853,7.004223109,7.08841953,5.940398596,7.434921316,6.852825675,6.8307723,7.290266198,6.889969111,6.740538209,6.57283814,6.691027501,7.30759294,6.869315604,6.751982537,5.854535813,6.775004348,6.872990964,7.055150864,6.728228346,6.441777395,7.299643928,6.743016608,7.289624135,6.799369684,6.570217042,6.911821296,7.077343288,7.098723266,7.308347085,6.836173594,6.558474813,5.776926196,6.893062486,6.389619859,6.957542669,7.033076053,6.424297363,6.024518164,"SIDT2"
