"","GSM1647628","GSM1647629","GSM1647630","GSM1647631","GSM1647632","GSM1647633","GSM1647634","GSM1647635","GSM1647636","GSM1647637","GSM1647638","GSM1647639","GSM1647640","GSM1647641","GSM1647642","GSM1647643","GSM1647644","GSM1647645","GSM1647646","GSM1647647","GSM1647648","GSM1647649","GSM1647650","GSM1647651","GSM1647652","GSM1647653","GSM1647654","GSM1647655","GSM1647656","GSM1647657","GSM1647658","GSM1647659","GSM1647660","GSM1647661","GSM1647662","GSM1647663","GSM1647664","GSM1647665","GSM1647666","GSM1647667","GSM1647668","GSM1647669","GSM1647670","GSM1647671","GSM1647672","GSM1647673","GSM1647674","GSM1647675","GSM1647676","GSM1647677","GSM1647678","GSM1647679","GSM1647680","GSM1647681","GSM1647682","GSM1647683","GSM1647684","GSM1647685","GSM1647686","GSM1647687","GSM1647688","GSM1647689","GSM1647690","GSM1647691","GSM1647692","GSM1647693","GSM1647694","GSM1647695","GSM1647696","GSM1647697","GSM1647698","GSM1647699","GSM1647700","GSM1647701","GSM1647702","GSM1647703","GSM1647704","GSM1647705","GSM1647706","GSM1647707","GSM1647708","GSM1647709","GSM1647710","GSM1647711","GSM1647712","GSM1647713","GSM1647714","GSM1647715","GSM1647716","GSM1647717","GSM1647718","GSM1647719","GSM1647720","GSM1647721","GSM1647722","GSM1647723","GSM1647724","GSM1647725","GSM1647726","GSM1647727","GSM1647728","GSM1647729","GSM1647730","GSM1647731","GSM1647732","genes"
"ZNF14",9.162883422,8.954118502,9.169315006,8.64705729,9.116669122,9.107851115,8.699526326,8.885984004,9.031908092,8.821944954,9.106953381,8.967810969,8.440001447,9.052372694,8.836590419,8.810922596,8.855931595,9.363441894,9.188398325,8.949314783,8.987522435,9.137716209,8.909793664,8.919538688,9.064400123,9.185974291,8.851633031,8.819997838,9.034238547,8.954411162,8.667082803,8.876458815,8.811373992,8.903073429,9.001756691,8.836319547,8.950953259,8.905038435,9.115553475,8.74533279,8.082709204,8.381170286,8.857489946,8.586300719,8.494319889,8.844221652,8.760830579,9.038321995,9.167330729,8.189678038,8.590532254,8.928886304,9.012447294,8.800104624,9.046577835,8.527433297,9.14404624,8.363177935,8.960643547,8.781414507,9.186043433,8.586301864,9.141564871,8.818782096,8.883693093,8.998023076,8.619772659,9.096879186,9.01986837,8.54430926,8.754904925,8.572125005,9.267865701,9.314232804,8.375897303,8.976051924,8.945252484,9.047807339,8.618168265,8.948134744,8.765883162,8.624155616,8.75964274,8.849413606,8.872020485,8.78315766,9.002682454,8.777409161,8.765321319,8.80056164,8.695486538,8.646067771,8.658628194,9.181552315,9.103852094,8.875174905,8.822988097,9.0399234,8.597932975,8.850443747,8.891893526,8.747103843,8.865046147,9.092606761,9.414129449,"ZNF14"
"DVL2",8.892717155,8.501452651,8.585967724,8.519990037,8.652942818,8.84973802,8.487861532,8.657032801,8.710196101,9.135937016,8.999458093,8.86889891,8.703537323,8.887278225,8.643422142,8.947133276,8.874070806,8.97892633,8.733138748,9.077455211,9.016301217,8.944713302,9.142639846,8.776819755,9.118052614,8.952531393,9.010553977,8.856450917,8.592008495,9.205961738,8.474504968,9.119769176,8.707254402,9.003245912,8.929299689,8.81862152,8.750105655,9.063095944,8.875940912,8.952737653,8.382888154,8.522776402,8.495952504,8.617729169,8.753845915,8.552709427,8.728516242,9.087532545,8.749937963,8.511853414,8.45581688,8.970861559,9.030694838,8.581060728,9.042002309,8.698221801,9.007344985,8.57216663,8.672332805,8.614818459,8.981150373,8.552276233,8.922633222,8.818087277,8.8539557,9.147551671,8.914460829,9.049245609,8.617331284,9.025080501,8.829841974,8.802164247,9.056130225,8.906170182,8.834710885,8.941800831,8.767478529,8.743397656,8.899439298,9.139535428,8.640444222,8.878549924,8.599824378,9.180368492,8.838507261,8.675118658,9.00956494,8.945492781,8.688228112,8.801299534,9.000831788,9.169833778,9.073000639,8.738044743,8.814817917,8.928966509,8.788720607,8.474041741,8.796271252,9.052204263,8.693378081,8.941773997,8.894329484,8.867340412,8.485237408,"DVL2"
"BAD",8.229187375,8.755425435,8.895393922,8.572019237,9.029754347,8.448183272,8.488131436,8.847427228,9.06052408,8.359557107,8.362516203,8.564916425,8.107014487,8.739920388,8.740253893,8.891735564,8.705431709,8.939635774,8.333101508,9.022118943,8.97185635,8.585962929,9.32456663,8.523535002,8.737709824,8.773724959,8.447086861,8.52432902,8.930093811,9.013358021,9.083426673,8.942016601,8.975938745,8.579454013,8.688240676,9.016524888,8.745301817,8.705771359,8.835110316,9.140023608,8.767129364,8.832867274,8.807413627,8.092618102,8.411295987,8.46659729,8.541220391,9.044839715,9.163458836,8.6848732,8.82910606,9.057943891,8.920625465,8.719937413,8.508506476,8.759880251,8.870296148,8.388185795,9.207990021,9.158340886,9.090051646,8.593789278,8.862312493,8.465326124,8.479310328,8.851390942,8.746156745,9.019278354,8.992703168,9.126376005,9.05746252,9.093178085,8.556030492,8.979029989,9.049018601,8.72026861,8.435983302,8.399259299,8.678790876,9.197365196,8.54153896,8.713510618,8.445500559,8.905547625,8.635337205,8.577903096,8.890646943,9.29672204,8.302926641,8.869806696,8.752851537,8.832204683,9.002183311,8.982902259,8.522748245,8.699369407,8.167034991,8.882276648,9.289139719,9.024285938,9.124994156,8.847527835,8.314515015,8.88717252,8.669346191,"BAD"
"CDHR5",8.631026641,9.483445353,8.716920531,8.847949253,9.774503539,8.153755873,8.682756703,8.946624324,8.828996557,8.431365386,8.49494712,8.439701112,7.824711596,8.864098788,8.660141816,8.165702486,8.816273313,9.029836046,8.665047433,8.570278291,9.300587928,8.455304339,9.154936335,8.780650607,8.854513281,8.844556624,8.434111426,9.03026387,9.155277753,8.832793943,9.005081828,8.839705161,9.129815902,8.917875383,8.758662487,8.66974376,9.298130611,8.415648534,9.305933761,9.004793468,7.956457995,8.595161117,8.785957964,8.255951579,8.732342744,8.930092763,8.376993353,9.275699286,8.425879454,8.043170446,8.603590478,9.251955269,8.843200094,9.032976088,8.612554261,8.623119677,8.889502002,8.312481957,9.099124733,8.565498677,8.621047132,8.03543243,8.72371053,8.175827163,8.59466234,8.82520419,8.395582786,9.369542186,9.02369228,8.66440538,8.972544044,9.217471292,8.295883241,9.098672164,8.352398895,8.498014873,8.511948389,8.908209662,8.437201158,8.529091467,8.857493521,7.805356604,8.331577269,8.511180564,8.782556734,8.979922813,8.48005844,8.324269501,8.842236632,9.128495508,8.231381709,8.348934332,8.218236647,9.460027093,8.465437327,8.699302448,9.064310055,9.489379747,8.706452559,8.734327212,8.878639183,8.857799669,8.284749914,9.165071365,8.814225545,"CDHR5"
"ARMH3",8.848294938,8.711726301,8.681194791,8.336975579,8.784116294,8.685115126,8.659763595,8.537651534,8.713859764,8.794692004,8.805706482,8.769784226,8.767519342,8.746036086,8.577115283,8.716313994,8.653560995,9.232303145,8.917794109,8.609163867,8.682653397,8.870712657,8.868043587,8.790982984,8.810950549,8.917296952,8.960562744,8.820487587,8.721674033,8.566251698,8.835560297,8.755828295,8.655340532,8.65110976,8.652385637,8.590307281,8.510292515,8.630879888,8.709942375,8.626484636,8.456961386,8.400895533,8.764123182,9.024569401,9.028377501,8.760436639,8.891200884,8.729795192,8.671993969,8.73703204,8.188209715,8.614613249,8.680951613,8.519591277,8.852392368,8.51917779,8.658481605,8.680376417,8.633540304,8.361394322,8.695519807,8.385363531,8.836791673,8.380706915,8.373780296,8.948328241,8.480747942,8.866699485,8.885331033,8.817008304,8.947818621,8.796473582,8.563601971,9.057723101,8.645849232,8.855801073,8.88219581,8.525875812,8.670450974,8.764424517,8.547747222,8.637939384,8.742497833,8.80413947,8.800253338,8.63153104,8.799376324,8.822575161,8.433574181,8.929822036,8.603595995,8.675102702,8.651717632,8.765395678,8.658111175,8.570433864,8.847315421,8.807393894,8.608834229,8.602033875,8.680110807,8.752929746,8.694414898,8.885783737,8.601969882,"ARMH3"
"ZMIZ2",9.144476336,8.729799466,7.257589707,8.512876805,9.433217228,9.031389332,8.152936447,8.059100955,8.551593453,9.379648333,9.055779742,9.373452321,7.902632179,9.377298622,8.748146293,8.679423366,8.157314358,8.162564309,9.310085018,9.030046834,9.100063903,9.247838652,7.779665049,9.496493452,9.778819636,9.469068297,9.066610316,9.38584262,9.129610239,8.806001822,8.226957679,8.327480276,8.974391743,9.186135082,9.473709234,8.241491377,8.723472832,8.913936526,8.739945728,8.945729133,8.236306452,7.931005719,8.569592689,9.277555524,8.626722011,9.189164444,8.78069617,8.337519247,7.83196751,7.939826379,8.375235831,8.703858834,8.179440071,8.554954161,9.20320574,9.151544528,8.916265732,7.837633299,9.015840781,8.531722158,8.313253793,8.449818722,7.915124451,9.053712244,8.62362706,8.740252095,8.603928528,9.500508163,7.751328668,8.712426627,8.840874918,8.059708741,8.692901004,8.599034613,7.686911448,8.703062148,8.570448933,9.010444321,8.677972202,8.132035428,9.053299264,9.435371301,9.632266676,8.829575061,8.43173262,9.340680471,8.615265498,8.378761321,8.561053111,8.822198466,9.097351099,8.324768432,9.115721694,9.521215523,8.875551102,8.065818382,8.186023212,8.650792875,8.942390301,8.140388615,8.112216749,9.130154231,8.535509972,8.244195641,8.604277815,"ZMIZ2"
"PFN1",8.609536743,8.617846894,8.03911141,8.600087107,8.744454827,8.895806814,8.741244559,8.634234971,8.234643612,8.615859426,8.766457139,8.534852377,8.317704952,8.948369309,8.747407514,8.634944929,8.589904189,8.279410969,8.666486434,8.693301631,8.850281682,8.848455788,8.479612738,8.64547328,8.638425722,8.784923341,8.949188122,8.477555482,8.864893368,8.490478335,8.338234013,8.729580227,8.406781005,9.102736161,9.023475353,8.199086239,8.721617417,9.184356572,8.492365689,8.845362603,8.869226348,8.63250073,8.951865315,8.743097496,8.750849433,8.864229234,8.916733794,8.326742254,7.874275279,8.506005859,8.786410249,8.486754161,8.717441188,8.751174515,8.93917257,9.007565089,9.087925347,9.212630063,8.972119703,8.570479077,8.354645811,8.816607719,8.648892193,8.849699676,8.697099417,8.546779176,8.957717879,8.589904152,8.563173718,8.156048575,8.13641656,8.385748524,9.148350073,8.404503512,8.618574696,8.470762058,8.311302032,8.740363925,8.813495247,8.635786749,8.681377052,8.399314033,8.84266424,8.999121686,8.500369067,8.790569883,8.078936868,8.685181674,8.588141372,8.678411586,8.973892641,8.777917574,8.946869139,9.144733309,8.497700471,8.755618325,8.702229923,8.985735935,8.41816786,8.634900573,8.940534558,8.583140011,8.508309384,8.175931649,9.209326678,"PFN1"
"SENP5",8.430861922,8.630989375,8.194411421,8.641933644,9.207159351,8.845004104,8.564855366,9.047395194,8.50871271,8.507402014,8.464661246,8.207056293,8.118930653,8.422355489,8.687657657,8.699180488,8.556459092,9.026286893,8.756574824,8.541467948,8.870463482,8.568117434,8.898693955,8.404980531,8.995578504,8.497560998,8.352499058,8.123588881,8.669030304,8.898837035,8.896376931,9.027356758,8.921133417,8.688698617,8.575476933,8.555023243,8.542749114,8.969734921,8.316981565,8.629962952,8.548783835,8.862391452,8.958203978,8.292939054,8.422737837,8.526601509,8.469057228,8.263548739,8.572497582,8.471669338,8.739584408,8.844156758,8.85242389,8.8296419,9.010950005,8.408229118,9.031898401,8.913038168,9.135809306,8.352428503,8.420810001,8.576909151,9.050261731,8.71218586,8.456101183,8.716904471,8.441579999,8.875187652,9.06021854,8.696600039,8.560073124,8.82887665,8.680123744,8.830881401,8.723888005,8.35011851,8.594099409,9.165484147,8.394209009,8.772382777,8.735423819,8.74741126,8.808423752,8.509536675,8.616722561,8.618700087,8.595214897,8.320097265,8.591494673,8.581925259,8.694003597,8.739753025,8.753656985,8.663803323,8.819444354,8.867452825,8.548311789,8.314744997,9.074123275,8.642445386,8.542902712,8.747621959,9.090129017,8.611056281,8.681020115,"SENP5"
"THRA",8.50192733,8.754700695,8.732827088,8.943629525,8.782866229,8.306735471,8.357216366,8.894713546,8.952436821,8.983411625,8.569426306,8.571395689,8.756392631,8.715284158,8.808574387,8.823485147,8.901442355,8.713998947,8.761267823,8.565064946,8.859640829,8.611848762,8.72950777,8.644942229,8.645050257,8.525782102,8.510156462,8.350369943,8.494006014,8.860905991,8.681459295,8.704535405,8.619214322,8.378115789,8.678784809,8.872090002,8.727142146,8.784742956,8.8705458,8.690535934,8.549184639,8.447073476,8.52152011,8.334044857,8.463832053,8.485553039,8.776945047,8.834816692,8.846910139,8.582935793,8.667388295,8.668809667,8.600435604,8.569794272,8.453139786,8.665925091,8.63939833,8.382832135,8.669961614,8.744398968,8.797266148,8.393524809,8.75117219,8.674384249,8.567953815,8.680858367,8.56203574,8.979837099,8.569476157,9.049639975,8.550924104,8.713785323,8.506281515,8.564157999,8.502931116,9.080185284,8.555242503,8.701935876,8.302847515,8.448957252,8.625260015,8.790257897,8.366164743,8.624658114,8.645977998,8.55585661,9.007979286,8.756296391,8.638404561,8.54368839,8.772412405,8.599300885,8.843940153,8.484255309,8.746482589,8.583357902,9.068796927,8.488172071,8.842786988,8.712752444,8.398633765,8.900810279,8.578911976,8.586503524,8.393080685,"THRA"
"GPR21",8.577221628,8.541898089,8.796399485,8.562438929,8.782605906,8.475845996,8.524290015,8.748805207,8.768302965,8.539444959,8.562295889,8.681821342,8.017987071,8.729715994,8.464522636,8.611898326,8.724394434,8.723735783,8.687795232,8.35115199,8.898992995,8.998207536,9.0982934,8.441123128,8.739247538,8.80448433,8.480292031,8.691329217,8.750030455,8.933738071,8.600388912,9.068156069,8.510370638,8.535744945,8.730418263,8.757288927,8.750991579,8.594025077,8.908887544,8.460682218,8.017051403,8.384053877,8.374833788,8.785565363,8.621742318,8.366430256,8.629759865,8.783032306,8.862878008,7.84527824,8.479661029,8.875757398,8.861923132,8.869472768,8.92006689,8.666934121,9.081422062,8.221566964,8.786129952,8.354498746,9.226097667,8.123535344,8.871281186,8.834531484,8.622426539,8.887828844,8.823940316,8.566660335,8.256286386,8.034856474,8.481286116,8.596123817,8.982315633,8.810967857,8.70841337,8.847956815,8.376571642,8.279802914,8.911214421,8.769371701,8.989827764,8.181596289,8.819256505,8.982219608,8.719595559,8.839520192,8.856353649,8.809169541,8.127399582,8.574145904,8.933265892,8.532497583,8.756515493,8.941702004,8.635609461,8.653658413,8.716027629,8.284165078,8.701861773,8.537223087,8.680311609,8.315281609,8.560220691,8.804055108,9.077486382,"GPR21"
