gene_symbol,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
NAT2,2.259995537,1.657781753,1.768125027,2.950018552,0.893354444,2.348801792,1.695401474,2.586248331,2.121075097,1.990965749,2.974224589,2.802916968,2.18061892,2.217993747,1.208448588,2.209097717
ADA,9.383220433,9.769720506,9.621515286,9.972477267,9.297131792,10.07294988,8.534061602,9.443215012,10.20153585,10.29548197,10.33694165,10.24658623,10.92935459,10.47539906,10.21273955,10.44311968
CDH2,1.964964139,2.736392731,0.617317292,3.445766425,1.024865729,7.172637522,1.885824228,1.559056124,3.516771607,0.998325502,5.966651949,2.478490395,1.784579361,4.825073261,1.354847056,1.055410862
AKT3,8.192800751,8.38663853,7.144709221,7.383453743,7.418771835,7.235152624,6.720634169,6.936060746,6.683822755,7.239999421,7.812440465,8.158281479,7.496789878,7.076965202,7.617592353,7.777340806
MED6,7.534069386,7.714891151,7.077104107,7.611083832,7.802845902,6.30299527,7.137687947,6.927955696,6.986934216,6.866116702,7.411976982,8.057320294,7.071837736,7.896344515,7.806549622,7.624459184
NR2E3,3.46661407,1.692927055,4.882706624,2.415634291,4.655683839,5.017142464,5.327532884,4.034884779,3.280551056,0.879909611,2.859077027,4.09495386,4.059900339,1.655750232,1.268679912,3.869012639
NAALAD2,4.013649843,0.665774771,4.205142241,1.83060419,3.83287989,5.969228788,1.610255942,2.355095221,4.213339504,1.26446437,1.116843801,2.538615138,0.215889783,2.403807609,1.495198831,3.317781607
NAALADL1,7.007352503,6.529852173,7.240428824,6.682531162,7.647357686,6.295401614,6.470764607,5.692148185,5.959376049,6.904941641,7.438708698,6.430880697,6.845201483,6.658868402,7.308830464,6.956521363
ACOT8,8.331154321,8.149924905,8.763036377,8.156356164,8.311462245,8.385090169,8.726889103,8.226696368,8.151945046,8.282337864,8.471085824,8.938462236,7.878559829,8.813232863,8.520724743,8.667569299
ABI1,9.767457831,9.888942595,9.410497992,9.679522324,10.10760941,9.376869884,9.948126276,10.3022505,10.13035176,9.987590891,9.864232583,9.764111903,10.22941969,9.891842928,10.08438322,10.191269
GNPDA1,8.74899785,9.164233177,8.924073156,8.781972729,8.932229518,9.294237051,8.797457265,8.784975033,9.060976879,9.488201667,9.290385236,9.423603381,9.691658037,9.151818236,9.213126097,9.267238483
ZBTB33,3.51935319,3.778618614,5.18742334,4.809028508,3.517779603,5.059939264,1.102758898,4.686769432,1.521337237,4.120194324,4.084395978,3.601411277,1.562923765,5.446352186,3.648269849,3.151754929
CDH3,1.86089925,2.770714894,2.522349583,2.27962878,2.449759443,4.614574401,1.9670985,2.057616627,2.33763974,1.74800173,1.949646983,2.327397072,2.855154526,3.113935485,4.463321646,3.515926868
TANK,7.459579159,7.580288721,7.416054354,7.714060016,7.603492825,6.635313275,8.479848962,8.913442961,7.971715977,6.161145995,7.144352339,7.820651272,5.165678838,7.605590633,7.432550252,6.238261418
EGOT,5.078934268,4.305292047,5.466134392,4.293429344,4.725877459,4.992161139,4.313260366,3.0024577,2.312214987,0.072887835,4.865107194,2.725760785,2.642505195,2.674216566,3.550445134,0.886776435
LOC100127972,7.832788769,8.249151387,7.901319466,7.986103704,7.726054633,6.669225236,6.858130232,6.634144534,7.802710219,7.394625605,7.893398617,7.936608496,6.627421529,8.417869388,8.206442988,7.86189955
HGC6.3,2.050463388,2.687298131,5.410388597,2.370674854,3.817009214,3.045827359,3.261211853,4.129761088,2.518192679,2.414408888,2.441263021,4.339279937,2.099931399,5.125084855,2.783423127,3.360013042
PRO2958,4.305904876,4.282091322,0.559178522,3.071215206,4.575499917,3.864473417,5.437294331,4.51630517,4.11710488,4.27306078,4.062950609,1.568839593,3.19889956,4.196103398,4.372757126,1.117608611
ACVR2B-AS1,4.589116286,3.594763505,3.1046671,1.892779578,4.674505848,5.631121748,2.04354749,5.778805195,3.77498731,1.292063167,5.76955754,4.689494862,1.240876031,6.024543531,4.506513085,3.008359595
TOPORS-AS1,8.085424656,8.085865445,8.75172815,7.870901007,7.909029008,9.064424825,8.447686634,7.54963837,7.294179603,8.08905847,7.572177238,7.416130378,8.489514838,7.947403166,7.924575003,8.482198892
C1orf68,1.738270643,2.064655257,1.910487076,1.633682294,4.757823336,2.851039386,3.185106949,1.810858474,1.504518701,1.165635429,3.604106916,1.916335234,1.408836835,1.53974942,1.017715285,2.99171321
SMIM10L1,8.960986569,9.009411561,8.951634417,9.23275428,9.28598935,9.25742556,8.43288009,8.904514204,9.068834695,9.436905138,9.340103788,9.103678595,9.678260331,9.214787799,9.32859864,9.88491076
DPY19L1P1,0.768171618,4.367336116,1.66120233,1.188407255,1.464485305,3.46490347,5.164283467,4.530414141,2.792599267,4.386748879,4.487241935,2.06008544,0.705615248,5.238160129,4.393155317,1.668577555
ZNF37BP,6.925536638,6.651310061,5.079271431,6.614630346,5.435465248,5.862649754,6.209975761,5.820656377,6.16078509,6.297114363,6.551914319,6.67116597,7.054664005,6.598761201,6.930784638,6.705328266
PP13,4.922083646,6.320170544,3.191733187,4.731145218,5.958991112,4.339636254,4.969721504,4.083324013,4.174022842,5.74868127,6.015814212,4.004708119,3.692237475,5.749051501,5.477612573,3.475694526
MUC8,5.155518532,5.651554035,6.653676299,5.465246405,5.451517755,6.681519543,5.018331504,5.227937416,4.704346347,5.933943178,5.868642322,4.93223129,6.113275428,5.021777297,4.610127169,5.359391148
LOC100129973,1.891555284,0.402536644,0.067473513,-0.375081225,2.695862451,3.003003088,0.123758886,-0.82907764,0.321189246,0.637443317,1.126074195,1.898285759,0.73920004,1.48907532,0.544327111,-0.158506652
HDAC6,2.10863485,2.560876332,4.354254672,4.279894682,2.571387999,5.112003635,2.893393278,5.112253912,3.849629034,3.080337029,4.892264724,4.561741592,3.416556038,4.597048407,4.026950517,4.696361119
LOC100130331,4.80858584,3.596481993,4.918357609,3.627991972,3.751560126,2.250370432,1.191947907,4.78845603,4.290498129,1.920441945,4.663612182,1.925399436,5.177806198,1.474664468,3.9502071,2.556816862
PP14571,1.886889565,1.774957801,3.994063737,1.779843825,5.496257806,4.286792455,4.820337267,3.930879235,2.23071334,0.857216662,3.302314664,3.551589842,-0.054819326,0.309606952,3.219227389,0.496687314
LOC100130741,4.027552189,5.81809129,1.936221441,4.45468917,6.061586129,5.635339397,5.252033346,4.212032314,4.774697465,5.468394334,4.416893774,4.332607693,4.766107467,2.729487513,3.673171956,5.710346351
SYCE1L,5.206522109,5.375939531,6.102135291,5.73056388,5.636528921,5.147363689,4.882535455,4.523034962,5.579472834,4.769168727,5.698437978,5.287524009,5.598201416,4.976368219,5.167072861,6.3858555
LOC100131510,5.743937676,6.180879846,7.204571144,6.316118583,6.785432851,6.471177704,7.184171176,6.837135914,6.15078305,6.193901817,5.600275701,6.84238806,6.19360815,6.43915934,6.0538021,6.320054983
LOC100131532,3.175134933,3.271964942,5.645289516,5.611122204,4.366895681,2.601660865,5.683873272,5.916063363,4.303108551,4.407264365,4.507395069,5.268554164,4.742006211,4.957742839,5.257651841,5.261102005
ARMCX4,3.995520699,2.204844986,3.472435782,2.813918657,4.447281635,3.863066228,1.321726103,2.927221395,2.358255587,3.217112814,4.306123681,5.526528973,4.863433022,2.217320688,3.421519552,3.532853039
CADM3-AS1,1.658069777,1.799447935,2.234823178,1.593205549,2.233222378,2.056829737,1.368304601,0.774350628,2.882719339,2.446097392,2.624992212,1.797764229,1.789879459,1.166451944,2.337853785,2.157127811
ZNF717,3.412497022,3.756489607,4.485581393,4.063192281,4.2933852,4.130230762,3.129830313,4.061715724,3.811101061,0.29285241,5.922806773,4.62745509,3.824472564,5.064943192,4.264258674,4.829266074
KIR2DS2,7.550962212,7.930370705,8.00324804,7.227201967,7.819431887,5.920793488,6.414984524,7.027618534,6.989309341,7.508801005,8.37300867,8.021479727,8.344402441,7.80383406,7.622923032,7.652751777
CLUHP3,9.967773831,10.34144099,9.628786351,9.898119149,9.934663924,9.244040293,9.156381447,9.234963489,9.313551975,9.861718141,9.979139343,9.932388987,10.26675141,9.81981984,9.601447678,9.685120202
KRTAP4-7,-2.105150425,4.64638158,1.326755922,-0.233063974,3.092395206,3.182507977,3.908899352,0.52484601,0.053542342,-0.5277098,2.414876991,4.558696215,1.0168172,3.805880559,4.284632576,2.997391776
FAM66D,1.055626038,2.074984885,2.752746451,2.327586774,1.694296312,3.184623072,5.117736594,1.213291284,2.314763222,1.615792931,2.572673854,1.189792938,1.999000588,1.190418906,2.179386839,3.286211381
CD24,5.57271993,5.606877458,5.739032577,5.825437121,5.620633327,7.996366148,6.088756443,5.889130351,4.709252031,5.366129842,2.939790755,5.860068904,5.553317492,4.749818488,2.863972139,4.478602997
NDUFB2-AS1,6.425496231,7.078951341,6.171274893,6.252339962,6.703197622,6.386216022,4.332851122,6.084600072,5.972311254,6.033200523,5.933341298,6.384654258,6.517407987,6.35429523,6.353792585,6.738551687
HDAC5,9.696990122,9.623822976,9.781828513,9.506601149,9.588146814,9.527537606,9.622218415,9.710017728,10.13330921,9.448781217,10.18532147,9.950079051,9.413151888,10.32389918,9.510261758,9.618033045
PDCD6,9.288849929,9.298507111,8.726970822,8.783139033,8.881722732,8.566487923,8.721307715,8.440873319,8.515944209,8.69492545,8.773561236,9.445598429,9.031022939,8.792256708,9.125842211,8.438891632
BCL2L10,5.132523378,5.299860061,5.482335248,4.74309483,5.365937444,5.296358288,5.573247267,4.544077299,3.06589969,2.440936257,3.63131386,5.873050317,5.489070823,4.816343705,4.503533195,5.096046749
BCL2L11,5.528114935,4.524659241,2.983221651,5.004829444,0.938639599,4.996786427,5.58482123,5.394054481,4.536929444,5.186369815,4.227825775,5.222522516,2.580258869,5.226581742,5.356196642,3.813668336
SH2B3,10.46691256,10.83492133,10.57140188,10.52964528,10.25522926,9.867674114,10.67439533,10.94154652,11.30703569,11.18429269,10.87771358,11.20914262,11.40263372,11.05693571,10.51703942,10.49183306
CDH4,3.206869799,2.943715079,0.78619486,3.008126493,3.308098713,1.528831331,3.779637945,0.666956511,0.682258657,0.55606149,0.953138567,0.861828354,0.293558829,2.424677588,2.840273883,0.585039442
GNE,8.195431267,8.265732239,7.916345267,8.457824086,7.831319913,8.238996983,7.972623734,7.770895102,7.800421079,8.449557248,8.023210988,8.128370739,8.403842879,8.152852681,7.946145992,8.200535741
HCN4,2.446634722,2.389987995,2.712496736,2.221252242,0.53554538,1.650796721,4.121189509,1.65636365,1.812777496,1.456411916,2.25189478,3.181994614,1.924115092,4.501432776,2.951472166,2.219698251
INSL5,0.851087373,1.10177108,5.529905257,4.954335919,1.955963692,3.223390112,4.1584259,4.290557107,2.73945498,2.495163007,3.27600824,2.323113503,1.865293313,4.97162632,2.411881762,2.426417739
FRAT1,11.488051,11.31564208,11.28699085,11.15947404,11.19705693,10.72975668,11.03624918,11.66973103,11.29087131,11.38305083,10.93814609,11.12063965,11.35000544,10.95520672,10.98618336,11.07489072
TROAP,5.410300396,1.858943797,4.614486062,5.183327706,3.085567423,8.288926041,3.877312358,5.278036802,5.823058923,1.781527581,2.986638472,5.368743908,5.73690518,2.696508016,4.63751751,6.27464931
MED16,6.001682914,4.199491751,6.843091931,6.518107051,5.926855765,4.686887062,6.74663524,5.414186284,3.765555962,4.88631602,5.560161612,5.871488844,4.810535647,6.396168054,5.105179384,3.64878754
PIGK,6.109910033,6.716401079,6.934103637,6.538247919,7.114419084,7.906596015,5.756334814,6.309119786,6.373604714,6.774497174,6.4425919,6.007386143,6.495332205,7.008182082,6.605518039,6.981259017
CMC4,7.203377371,7.534310665,6.846994687,7.408652427,8.098300589,7.568130937,6.78869876,7.150986086,7.02595898,8.041626301,8.029209913,7.591253043,8.391896575,7.368157204,7.172617522,8.203563351
LOC100272216,10.93643919,11.08768824,10.76032908,10.8068718,11.1739644,10.24847317,10.17477591,9.848419509,10.13910364,10.92080688,11.10799511,11.07172379,11.14591941,10.95198403,11.14533355,10.85601305
LINC00894,6.830090496,7.421997467,6.934410348,7.088968399,6.723217233,7.098116325,6.761883612,6.333472037,6.90479717,6.400732598,7.240924865,7.233514227,7.180903709,6.80503444,6.433490302,6.450137347
LOC100287387,3.896765904,0.835924074,3.052603697,3.486920274,-0.229609008,3.31533436,5.284710299,3.616204761,1.472404587,3.511278265,0.837143989,4.577489254,2.11195274,3.980326973,3.428249611,2.755727227
LOC100287590,5.205932015,6.146398622,3.206940109,5.592214824,6.120320833,5.219145282,4.472240803,4.576915107,4.738481431,2.506297265,5.862533219,5.20810362,5.85259817,5.834696049,5.937744562,5.574352837
ERVMER34-1,4.672080185,4.502445178,4.761950079,4.243882301,2.606463549,1.208367426,1.700208868,2.237465822,2.025585206,1.123712542,1.753775664,4.170846429,3.974832137,4.378740494,4.462274859,2.70928843
LOC100288570,3.77257191,4.224441653,5.687405079,5.090959258,3.02464237,2.869178509,3.227470006,4.571949792,4.766414946,2.739761711,5.629272096,5.258364396,2.678008786,5.381764421,6.013676638,5.610903768
LINC00675,2.201925507,1.639472978,3.025209563,4.00993832,2.272390537,3.84565062,3.110807544,4.001658146,5.060393312,5.514838694,2.390502608,2.229594075,5.237678432,4.717753182,2.365664545,5.6429932
MCF2L-AS1,4.850784424,5.551488332,5.313985878,5.192541381,6.023716657,4.468172736,5.83660081,5.532775132,4.963340021,5.061318264,5.56464339,6.621026189,4.152256445,4.781658714,5.304434378,6.035546935
LOC100289473,5.990995691,5.972740896,6.143719931,5.782869818,5.916679658,4.848833227,4.908371003,5.400975044,5.312403792,4.440108387,4.691031591,6.654678987,5.630609326,6.124479097,5.661344868,5.830830807
LOC100289518,2.208960426,1.818535653,2.30148522,3.041525114,-0.315217162,3.791428607,3.233529182,2.456298883,3.183886634,3.934422143,3.585887933,2.050780284,2.059902069,4.63301264,0.320611757,4.343628119
ZNF587B,8.286710224,8.219884849,7.822035397,8.078785934,7.951290544,7.490802753,7.395474156,7.772446547,8.092244444,7.845069726,7.890805376,8.255821716,8.066078424,7.807477288,8.27269976,8.397845736
LOC100294145,3.113750499,4.696516918,6.078507367,4.852088753,5.856547538,6.218916753,5.772326452,5.193673195,5.760255549,2.735790762,5.493198984,4.925714648,5.524527611,5.253535517,4.770776199,5.894361848
CDH5,5.424458578,5.101780323,4.901986725,1.973890421,5.365377596,4.993647192,3.409146506,5.332650654,4.51976833,2.370038702,1.982042565,3.622977191,4.205627104,5.432782399,1.665383675,1.790321647
CHAF1A,6.237919301,7.014701195,6.846530925,6.518661023,6.815268004,7.444932049,6.684229648,5.884387899,6.380104298,6.469791573,6.999876013,7.202074835,5.135793409,6.785563629,6.356399147,6.405852847
PARP2,6.912865391,7.399461655,6.608418953,6.851149355,6.345584436,8.362737257,6.326999262,5.567092101,5.998955923,6.553406585,6.620854692,7.268359532,7.505382849,7.361312182,7.46255135,7.429908825
CDH6,0.081475982,3.773690458,4.793864678,2.99041216,0.260001561,5.603380064,4.677147382,4.295385083,0.525166845,4.000856346,1.414151773,2.783228236,0.624026008,-0.204618709,-1.537633517,4.209312988
TOM1L1,4.407978101,1.610029105,2.447751093,4.742043949,4.424337638,8.045819716,4.902117004,4.260582748,2.372517553,4.178905819,4.729694151,4.254291686,4.287753005,1.029445818,3.880450444,3.781611507
HMGXB4,8.353658516,8.394582736,8.003073721,8.155040824,8.049946541,8.820721467,8.041642726,7.991465158,8.064031345,8.631697278,8.468966095,8.616655434,8.866224909,8.681487918,8.572287157,8.612850072
MIR1244-3,12.48278023,12.21207987,12.36434262,12.37140367,12.50916881,12.59724949,11.8198797,12.136706,12.18896585,12.79774865,12.39599461,12.08665707,12.83568924,12.57987452,12.59685131,13.02378554
TOM1,7.950975741,8.319658574,7.213561143,8.37993281,8.409501256,7.473697633,8.174576198,8.253700963,8.046245483,8.494707608,8.342568079,8.411866851,8.151336256,8.510036209,8.349060024,8.032800636
SH2D3C,8.064149939,8.023266443,7.882820319,7.668331904,8.055911444,6.707345326,8.059912233,7.464341533,8.453007179,7.592255195,7.993204481,8.152614419,7.318307802,8.0274029,7.883474193,7.436719869
MAMLD1,6.448438475,6.346648467,5.001676159,6.339032244,5.70218377,7.166795771,6.546466989,6.426165776,6.018961254,5.863351245,6.031869341,5.814270983,6.36697434,6.428051918,6.205861657,6.176113295
MINOS1P1,7.775195436,7.911230181,7.045475735,7.753785022,7.69034725,6.84228748,8.607637316,7.768310059,7.393845183,6.856637171,7.469226652,7.867359059,7.081360934,8.136083697,7.669622095,7.167076877
CST8,5.647610963,3.21359458,6.062542696,4.854025578,5.095156466,3.254666599,4.117237895,5.233297551,4.925633953,4.633466086,1.425727838,5.052315897,4.390268716,5.24414117,3.102382666,1.405485967
RANBP9,7.98810522,7.973881009,8.214969887,8.105243302,7.88256969,7.88075898,7.796143466,7.884890923,7.155769468,6.124286773,7.593899011,8.119107129,7.073766688,8.044634548,7.779686529,7.330414984
THAP9-AS1,8.516641619,8.014338554,8.061257771,7.982805385,8.334961502,8.754406524,7.43759396,7.5848573,7.594750071,7.987349292,7.909239074,7.835450423,8.276785101,8.048034513,8.328001662,8.352295075
CDH7,1.958419546,0.94217291,5.122751394,0.654847942,2.098978686,5.909974664,5.098449035,2.288021845,3.249798766,2.057138304,2.341513308,1.974547667,0.62634568,2.045317149,3.501617481,1.911085619
SLC17A4,3.907717504,4.083196345,2.668831671,3.469312951,4.033801797,4.006513469,3.26228431,5.655824062,4.09961502,2.675748197,4.615751741,3.953917052,3.503361457,3.435388569,2.77378328,3.760327414
MIR3916,5.012291549,5.092351227,5.327744841,4.950827643,1.364269855,5.350094085,3.742491341,4.302165487,4.643128888,3.498046578,3.623305028,4.564213524,4.97776532,4.900089113,4.819836761,5.301225464
ANKRD10-IT1,9.431069224,8.783885496,8.744904457,8.020102113,8.60045561,8.786818499,8.339841097,8.398936038,8.503217532,8.04420284,8.536612458,8.826097177,7.923101629,8.587488761,8.246631353,7.926847464
LOC100505498,4.760258211,4.066425062,1.19829298,4.060306838,1.575898004,4.446487837,1.496078807,2.503488672,1.091591522,3.786868148,0.098689044,4.660797444,0.444136957,-0.373807603,0.143954974,3.291434114
LOC100505534,0.324430442,1.445753184,2.187330692,0.9726706,2.321122846,1.903570503,0.530260558,-0.400695538,0.943651323,1.11111146,3.907736729,0.405687456,0.374054586,1.699938017,2.676511147,0.721976299
SPATA1,4.454676011,4.091098939,4.841615922,1.40282039,0.930381587,0.425126254,4.864844804,4.292229592,3.994407749,4.892541602,4.152264558,3.611679949,3.54276569,0.76336058,4.859701254,3.479346986
RPARP-AS1,3.375553843,-0.080302959,1.524660495,0.907652138,3.148925972,0.292157428,0.123003954,0.539848658,1.567282585,0.71196178,1.29097283,-0.136056793,-0.159321662,-0.066678156,0.458150986,-0.47322404
KIF25-AS1,1.400871241,1.153137327,5.348823741,2.742566791,3.506335354,1.955305363,3.323355656,0.683337139,-0.131749427,0.799045849,1.413269114,2.599351123,2.000378658,2.376829348,3.343521528,4.532990143
LOC100505915,7.875374617,6.830711673,5.550691385,7.212287231,6.379147864,6.827260126,7.160476536,7.033731331,6.229495637,5.409876279,7.008316564,6.996682498,6.394481559,7.488948755,7.073113277,7.030645068
ADD3-AS1,4.360483677,5.117000953,5.074625313,2.959000389,5.298735287,1.501220017,4.873158621,0.521191481,4.611125155,3.584758104,4.899412515,4.611449795,3.987530069,2.981626187,5.083689932,1.618186962
RBFADN,5.72306156,6.305102309,5.499118777,5.454123239,4.384761306,5.966082026,4.918887083,5.21549223,5.083600588,5.566459002,6.025385436,5.57109731,3.04276339,3.821536755,5.685707527,5.079233024
LINC00963,6.750941416,6.726722248,6.646781892,6.360831286,6.224374121,6.192468393,6.494277991,5.938579853,5.742076295,5.627072732,5.210080996,5.584881347,5.459785691,5.582531918,5.984609856,5.678638164
LOC100506282,6.596602748,6.611697652,6.881799193,6.48501618,6.495815062,5.566620347,5.891606317,6.370645564,6.152850653,6.037230652,6.46950507,6.575820573,6.185678269,6.284488223,6.424873393,6.487364147
TMEM147-AS1,8.32087725,8.515684071,8.616490032,8.152893232,7.577035999,8.635819677,7.386560936,7.515628884,7.594160355,8.20121236,8.268817998,8.0876962,8.611707241,8.400213423,7.985824864,8.305573871
LOC100506504,3.720125212,3.47054988,2.997805435,1.943535056,3.345240231,3.570292906,3.43464157,3.32115316,2.704564363,3.16832593,3.83507518,4.045600233,2.831222612,2.88889518,3.375331417,3.847385635
LOC100506571,2.550506701,1.98194396,2.842677192,3.356665002,1.805498835,3.522733737,2.723160974,1.64367613,2.161300813,2.112803536,3.004695536,2.959801679,3.098539149,1.887143101,2.160397471,3.15450382
LOC100506603,7.124762367,7.087441625,6.853920817,6.621310509,7.094711118,6.232050552,6.076405172,5.564137293,6.551589842,6.7070968,6.159508095,6.347031326,6.802568062,6.762654439,6.439370478,6.852186156
OCLN,4.01234519,2.091706603,4.795138333,5.272751074,4.180490031,4.812123384,3.175202015,3.908918561,4.758836147,2.697722675,4.976459873,2.315444503,0.108651576,4.170029192,4.23878686,4.107001505
LOC100506699,4.435241868,5.110513586,0.227396069,4.144258515,4.312338439,5.109444143,6.092448487,4.67410468,3.752684375,0.410134835,4.747027487,1.640681078,4.877817855,3.650259068,4.574222636,4.990083536
MAGOH2P,6.017305069,5.842850642,6.623346003,3.652475022,5.583576247,5.99039446,4.990496573,5.942767834,6.751383379,4.832393844,5.573356347,2.437392883,4.794057098,3.528733832,5.496366474,2.605947031
C8orf17,4.648747282,4.696483534,4.37692934,4.706348201,3.437946776,2.197478566,5.545665717,4.192225734,1.897406955,1.703047528,5.127096709,4.814140217,1.061713996,5.548751024,5.698826883,1.411155037
LOC100507388,0.705243654,1.186874494,0.455449536,0.804565765,1.793271654,1.059985108,4.202362865,4.414954091,3.668595707,1.380812551,0.594902014,0.900752837,1.350129454,4.69549279,4.242000305,2.30409628
MICA,7.194106757,7.894320615,7.623091357,7.278477336,7.400708693,7.75309638,8.445664637,8.263419449,7.456559766,7.780316662,7.821703838,7.807651159,7.958343908,7.872810295,8.039522272,7.490128847
ZNF213-AS1,5.83316081,5.687721399,6.075909086,5.842963751,5.685202919,6.154698639,5.32344213,5.827046671,5.45705249,5.810347984,5.473718736,5.302121608,5.54877568,6.454636534,5.735267625,5.614038393
LINC00837,4.669707122,4.330529718,1.103255911,4.622936206,5.002166923,4.99745049,5.383807955,3.676526944,3.486212367,3.883992194,5.030371395,4.068025839,3.790031737,3.148537187,4.617592353,3.946646654
LOC100507630,3.977362361,4.120617361,5.414839115,3.175154099,4.121836011,5.43260871,3.103077947,4.921907567,1.962323208,3.06715682,4.922873359,5.223032475,4.836121067,2.626661073,4.323261971,4.989556856
SMC4,7.57075132,7.537544572,7.469128949,7.785171258,7.395739761,9.605422105,7.134549534,6.947864829,6.69971819,6.756583008,7.283375474,7.390977155,6.915305771,7.793518777,7.907070921,7.700058186
GJC1,2.885582173,5.250146797,4.165124069,4.963954942,2.15934824,5.193866343,5.061979197,3.880274108,3.901349638,2.087354211,3.04016301,4.391815827,4.579548259,3.50584013,2.160536236,4.071839881
SEPT5-GP1BB,2.71800865,3.976418629,3.649316543,3.595873596,5.067608603,4.3269759,2.596770594,2.834533244,3.576280258,3.069214083,4.00957112,3.081387353,2.573306656,3.772181269,3.095558216,2.846049959
AP1M2,5.840908814,4.758921403,6.022407764,5.961326981,5.283306941,6.491080246,5.777703755,6.117705431,6.29216516,5.361677136,6.127569314,5.928912712,4.426419081,5.505322503,5.129670432,5.629720891
PRORY,2.603295192,5.137560903,4.779254467,4.823035987,3.568567238,3.398555595,5.588477789,2.965289298,3.003683184,2.459617845,2.24275797,4.85771233,3.788268083,5.274269117,2.645295858,2.45043795
UBA2,9.109577344,9.1691308,9.049015357,9.212620404,9.483168837,9.766449401,8.18399756,8.914412042,9.140487266,9.11848432,9.155091436,9.034507368,9.653040306,9.692392324,9.508361302,9.916354225
ABCC5,8.90113842,9.083192089,8.987090594,8.864693785,8.685197311,8.803301314,8.435632761,7.728947669,7.705514894,8.482811989,8.289373408,8.719991102,8.623062085,8.502350494,8.805253756,8.493439189
ABCB6,2.691493965,4.096717263,4.200394493,4.153554058,5.352147623,1.51766372,3.114991613,2.212687613,1.625817534,2.454826013,4.136027285,1.683494351,1.571953431,4.695554036,4.179319952,1.700572884
DNM1L,7.75323681,7.9039722,7.682994584,8.115225764,7.991782585,8.550273504,7.641105235,7.331463386,7.873001085,7.940372332,7.837173768,8.076313238,8.049799551,7.72600012,8.045317367,7.808191958
CDH8,4.757332667,2.726356052,2.274616513,4.624586392,1.274631421,1.874065107,4.129241796,1.756907997,1.886834951,1.161365316,4.763464692,1.916614219,3.180389776,4.714113608,4.645736239,2.15329625
ABCC9,-0.598448168,1.643292852,1.206836987,0.940196826,2.298766807,4.607620303,4.186025075,0.55539408,0.146498824,4.071685454,1.036397831,2.561648736,-0.473033791,4.581646505,1.559692479,3.396776011
ABCF2,7.42288052,7.678339568,7.52166325,7.288801492,7.850261862,6.568854486,6.201067257,5.923755327,6.635873354,7.178376034,7.488611408,7.269697097,7.041155352,6.850999395,7.592651377,7.768468865
ERV9-1,5.674452177,5.660004452,6.580383702,3.312472046,6.044809381,6.496928855,7.281800237,6.76590598,5.823092051,4.324990569,6.454157794,5.979629831,5.204265945,6.700703263,6.027253596,6.076768575
NR1H3,6.413429915,6.333722475,6.025575905,6.201128045,6.783770933,6.509711675,6.067582791,6.575212476,6.843958727,7.290581066,7.099274161,7.058424737,7.014991242,6.735102413,6.950503408,6.715811023
IL18BP,3.93960272,3.74425799,3.661190926,3.048748851,5.651806576,5.498621069,4.105200341,4.194197394,5.456359344,4.205509813,3.555141267,6.251347958,3.220661179,3.990455729,5.96827511,3.704296542
RWDD2B,7.571654059,7.878443346,7.855310783,7.804324659,7.283273599,7.746151502,7.4534435,7.318045633,7.294170411,7.813062871,7.74083314,7.976398007,7.99510005,8.226850474,7.62485393,8.050017308
CDH9,4.087827712,2.068832438,2.392320171,3.379537791,2.962415759,2.246845846,4.391692119,2.551747322,1.381039672,4.485033897,5.141101672,3.08202638,2.381466121,3.230538127,2.212584902,4.85785662
DPP3,7.84928624,8.053361179,7.516385547,7.907425496,7.916393042,7.89909102,7.407837081,7.816798076,7.890902631,8.401037356,7.849548972,8.396827376,8.317285977,8.389205404,8.3121932,8.367309904
HUWE1,3.706850993,4.358740858,0.867485336,4.172391503,3.168735089,2.755460192,4.793323684,3.743945752,5.342956465,3.916744139,0.206280629,4.5853051,3.774755439,3.956939475,1.567939653,1.67178702
PTPRU,6.049763618,5.838941685,6.289152048,6.420603666,5.911099524,5.657874338,4.537395474,5.441908364,5.49813915,5.673935138,5.0356503,5.621178615,3.761551232,5.543220557,6.230237604,6.327584978
TSPAN32,9.24529837,9.220121933,9.112121479,8.927846096,8.91130809,8.17023054,8.019023546,7.802044544,8.435820252,8.900881899,8.728781051,9.140852772,9.304207558,8.314125497,9.153904113,9.221669282
ATP9A,6.317553711,5.627046459,5.525536469,5.45798492,5.720943287,6.236347194,6.966972576,4.703145008,6.01385303,5.256104877,5.33443956,5.428370223,5.731229411,5.591215636,5.162959231,5.330350442
CDH10,5.381137988,4.147616047,5.959702933,3.814622198,5.358744374,5.867310868,5.056037212,4.559754876,4.305306641,4.798745247,4.679423798,4.680054248,5.418992721,4.723411117,3.729117667,4.724284641
USH1C,5.222004645,5.156886008,2.736726087,0.999292906,3.340733161,0.90565897,4.828981856,5.343027555,1.356853712,1.14208663,2.00136991,4.63061515,2.32426337,4.494204375,5.351115917,3.957682486
PQBP1,7.042523962,6.640043885,6.473343712,6.575855357,6.236569152,5.982153944,6.027282352,6.281219745,6.565743388,6.302876498,6.139627066,6.980402381,6.773495302,6.952252016,7.158528905,6.261844819
