gene_symbol,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
SMCHD1,10.64701764,10.40831912,10.35965074,10.07456966,10.54349588,10.36290817,11.49844535,11.89711561,11.43020685,10.67893459,10.31676801,10.23481743,10.5520158,10.97117709,10.91599138,10.89397645
DOCK9,4.865760485,3.496129952,6.137202248,4.168361235,5.582173602,5.603522497,6.110799611,5.352355994,4.892245292,4.49487638,5.982327386,5.924327962,3.28154841,3.436828119,3.197931424,6.218298768
PHF24,4.957933166,5.38106529,2.138811193,2.696185269,5.083294225,2.908119248,5.288421319,3.834448295,2.066323448,4.410449655,4.623667904,2.430006878,2.863282351,5.768417255,2.874011973,5.162600794
FN1,3.517515073,0.331326868,1.970577602,0.149038196,1.544411197,4.878028835,1.576734959,2.930436469,2.074245098,0.766459472,4.991063739,3.958035282,3.403922105,0.867690915,4.778003514,-0.333434265
U2SURP,8.552938017,8.232512067,8.191557716,8.452113544,8.162381258,8.69132827,7.702394355,7.148354552,7.827990461,8.013177489,7.816042846,7.802219071,8.532877968,8.12895322,7.917604802,8.554001678
UBR4,4.224827489,4.782508166,3.843059259,5.134570069,5.008177599,4.44095884,5.166004365,4.612859653,2.234326568,4.031518709,4.762476388,6.19990983,0.509351277,2.897023521,4.375470437,2.674004087
SUN1,5.112921107,4.482796665,3.784022306,4.655815478,5.265744426,4.994077318,2.663064479,4.119547085,3.86828179,3.879068566,5.303119514,4.791204573,5.118733476,5.11280437,4.74170427,5.722490616
HAUS5,4.175867869,5.339173024,6.034085828,4.95765463,6.004436222,5.774897728,5.106884289,5.360346717,5.143874999,4.72643889,5.634250559,6.015049244,5.100603474,5.942129735,4.400018685,5.666054953
VPS8,9.877719714,9.846132848,9.773439256,9.568824472,9.524012728,9.143755639,9.448372395,9.391280113,9.46828802,9.536237501,9.319527618,9.654159825,9.738178413,9.291985655,9.599025758,9.312796754
ANGEL1,7.529641379,7.702422061,7.905483282,7.141064876,7.277715146,6.985955755,6.577048088,7.138353726,7.368969097,7.417304018,7.6948036,7.672651629,7.340348626,7.762083004,7.286372937,7.041746751
USP24,7.808603858,7.837728839,8.262273409,9.160655526,7.991856263,7.973462039,8.120548937,8.171246866,7.834091759,8.095391748,7.770571399,8.824755126,8.278635301,8.37226871,8.892849385,7.449899725
FAM189A1,2.186788941,2.645687826,2.929575145,1.716911901,2.042766891,1.8100523,3.945813681,2.883399899,5.547721265,2.485040339,3.252099217,3.324623415,2.596081196,2.407483281,2.299634443,2.603746206
FNBP4,10.80391315,10.80546175,10.5547615,10.71125398,10.64082334,10.41187109,10.07742995,9.803167289,10.21687921,10.82302484,10.77659753,10.64539725,10.92771871,10.86380685,10.86979431,10.47853707
ZNF629,7.40232141,7.501208232,7.272471161,6.98661572,6.478881229,7.905074061,7.056009024,6.618420743,7.221297103,7.755521881,5.49016897,7.845201483,7.343061321,6.829113821,7.330235694,7.244658767
PSD3,3.002581916,4.966347403,2.859025327,2.033933911,1.515354181,6.0219416,2.256738955,1.386071479,2.521193994,4.11315872,5.272448766,3.119641699,2.759319912,1.773388747,3.953814644,1.518238009
OBSL1,2.424664153,2.690850621,4.570262543,3.629764597,5.173427297,6.109703221,5.821559714,2.811955958,4.263492689,1.723960407,3.691790969,5.466643433,5.019737492,5.709638032,3.172425108,4.518478488
ARHGEF12,4.835353147,3.536774067,3.457975073,3.349308656,2.947927931,3.748471967,4.940415794,4.258556612,2.912588554,1.661986686,2.204992056,5.046552175,3.78307943,2.046260546,2.351283443,4.113900489
KIAA0895,0.74824653,3.664152849,-0.105654839,0.291167383,1.160190914,4.271231431,4.802089794,3.165363691,0.775514153,-1.577822986,0.76296106,0.536281723,0.708902335,0.461224692,4.049038235,3.726961969
LARP1,10.18005833,10.32293087,10.23869134,10.04805087,10.34067353,9.944687174,10.22796484,9.764612877,10.27307291,9.207951401,9.944498313,10.76583307,8.967471251,10.18322596,10.44843641,9.981610091
PPP1R13B,7.282578804,7.160617713,7.236329971,7.143668918,6.928180794,7.451507864,6.70075874,6.449916227,6.380859294,7.142127485,6.562755291,6.828161878,7.304693557,6.499412216,6.9690814,7.338638343
PUM2,10.99084144,10.63930453,10.69514998,10.96504111,10.46195004,10.30172481,10.74692574,10.30099311,10.1006492,9.947898426,10.16736796,10.29513755,10.04376554,10.33472022,10.30738298,10.10586923
ARHGEF18,12.28614476,12.405785,12.0390287,12.29695348,11.98051449,11.09648457,11.52461517,11.61048046,11.97689701,11.80421977,12.17592998,12.31544962,11.99499685,12.28830376,12.03795527,12.14414837
TNS2,2.805397713,4.469501814,5.819854639,4.866082073,4.622098688,6.872163883,4.609317644,2.671313756,3.845791104,4.384181081,4.519579645,2.00506937,4.362771442,4.243295869,4.797371012,1.946573671
CRTC1,5.257376527,6.364672227,4.617310239,6.488516616,6.808449409,4.803671351,4.364397337,4.4029336,4.318164971,4.81153782,7.060209548,6.438645497,6.180591473,6.793999894,7.050262244,5.14860877
UFL1,7.430628173,7.515613116,6.96915049,7.129993884,7.721892111,7.431689812,6.702006411,7.156062846,7.474492828,7.574941624,7.089328651,7.224898858,7.647911671,7.880073254,7.760852985,8.267362567
RRP8,5.096375719,3.967657418,3.409092182,4.697273415,2.360805306,4.455603402,4.765561266,4.099328872,3.51525829,1.17075191,4.806030126,4.380715598,5.360831286,5.92982413,4.922706889,4.986324462
ICE1,9.362632069,9.134118239,8.940081573,9.306319209,8.876394159,9.209816431,8.550596737,8.813931865,8.925729481,9.25951731,8.973602666,9.025208788,9.584699485,9.191989447,9.030807813,9.265631454
SMG5,7.677473006,7.549669171,7.556643995,7.161424172,7.702927608,5.567706671,6.480576961,5.749949854,7.396287953,8.130843375,7.700335674,7.920275433,7.870937984,6.87491989,8.096298755,7.8176936
AHCYL2,3.121786291,6.011028172,5.068408557,4.097105091,4.468602866,6.157120533,6.052946199,6.143021921,6.01821576,5.274854275,6.005011414,6.4913641,5.624291018,5.728540952,5.883493744,5.825136879
MAU2,1.499501512,1.573864068,5.630379259,1.645028336,2.667719582,3.547116633,5.900535976,2.591662664,3.65064969,0.027663648,0.861097827,4.465040654,0.267080296,5.141976315,4.903158811,2.777167189
SPECC1L,8.400461079,8.538542044,8.337251704,8.675134921,8.316792891,7.951232252,8.372947746,7.369126185,8.041407274,8.247794628,8.383799317,8.707569654,8.629957618,8.348909586,8.583496519,7.960436413
NUDCD3,5.600736579,5.506148077,5.945237806,5.319271091,6.020453308,6.497727317,6.162836406,5.628441166,5.783598088,6.124737557,5.482280384,6.152477527,5.537097232,5.785547936,5.747333687,6.34378799
SIK3,9.448872051,9.598956926,8.972715627,9.300336543,9.034364301,8.638935431,9.587749393,9.679805549,9.355511876,8.639543305,9.206692058,9.550619823,8.30473462,9.474229164,9.505958396,8.572594128
MED13L,7.345245554,7.146339557,7.042939762,7.340588972,7.600269754,6.10503058,7.811573783,7.24018074,7.287647745,5.381186451,6.377781421,7.604842295,3.06867425,7.609946986,7.635435176,6.465987521
ZDHHC17,2.740899505,4.785534859,4.320463016,5.140136497,4.836888579,4.219036832,4.2502264,5.548877381,3.084213971,2.063471879,3.427042929,5.315066214,2.55965088,3.591176732,5.479583042,3.99868294
KIAA0368,6.192655785,6.487315907,5.117778145,6.093716505,6.364192449,6.784124414,4.970503979,5.095342162,5.957369075,5.709844776,5.608546104,6.493780211,6.332000732,6.601990611,6.31065822,5.896245204
ADNP,10.74354694,10.62488682,10.57956108,10.8682361,10.20158486,10.48865358,9.919794429,10.3009588,10.39363714,10.04946741,10.2427454,10.34121858,10.54062209,10.64609964,10.3737352,10.27219819
LARS2,7.531053893,7.868057029,7.792874869,7.44141708,7.118152045,8.521211743,7.382208989,7.069852511,7.490417702,7.563440356,7.839991071,7.705701497,7.566503145,7.855721907,7.375986432,7.528258743
PIP5K1C,8.217865634,8.508559383,8.525857464,7.923369087,8.061592609,8.356368333,7.9353183,7.861688679,8.409921241,8.38406708,8.687862041,8.829205809,8.608413778,8.382948191,8.353490914,8.563737777
NCAPH,2.900132597,3.356045185,2.568504005,3.030014659,2.201370388,7.482130306,2.557544881,3.153806957,4.043292004,4.229372579,5.236970886,5.539701659,5.101124768,3.493109297,5.918994385,5.429371589
PPWD1,8.837473407,8.848406989,8.813046833,8.886839706,8.714005048,8.940527966,8.349214871,7.951098173,8.011378227,8.478615939,8.863281855,8.449350897,8.873970031,8.794259891,8.983726141,8.756536308
CTDNEP1,10.99019617,10.721065,10.71881539,10.54699089,11.09216911,10.56552102,10.62777097,10.42167565,10.69884355,11.20080054,10.89226958,10.68863498,11.33152161,10.57607803,11.02516033,11.16361194
FRAT2,12.60648156,12.38817608,12.35693334,12.65328623,12.34769334,11.77313508,12.58875679,12.62779149,12.33698905,12.2688256,11.92661475,12.3510883,12.14821598,12.10733479,12.45957762,12.16018973
EXOSC2,2.259269474,2.46879964,3.700661654,2.946504427,4.379031732,2.920520073,2.737154575,1.245343536,3.010183664,2.386391594,2.573279992,2.662112052,2.684915213,4.443759134,4.309947398,5.030208049
DICER1,3.120119657,0.610756748,2.514713107,4.683825561,1.345861869,2.462866387,4.960789695,1.822293705,4.452279135,1.332644926,3.116090233,4.276429666,2.699833659,3.076429117,5.094810331,3.266189854
SIRT5,4.216190981,3.902527064,5.268093742,4.015497569,3.382487423,4.533226929,2.17255792,5.093124902,4.932897397,4.896480148,2.445477759,4.55391339,3.632733526,5.622356438,2.260164196,4.220329955
SIRT4,5.216373377,5.918429171,5.090116655,5.375630294,5.695250567,4.835044854,5.396358175,4.743164861,0.684208324,5.252411874,3.632210041,5.837491698,5.926568791,5.854599138,4.891579585,5.480840276
SIRT3,7.466072382,7.30379901,7.277882491,7.142495128,7.261624836,6.667636708,7.701930195,6.316178333,6.473950845,6.675420773,7.137739172,7.054294991,7.092862829,7.308111458,7.42302344,7.255302443
SIRT1,8.491332029,8.240824716,8.355073544,8.226653023,8.450477212,7.78660943,7.872428639,8.039560654,8.059241697,8.301404738,8.382485694,7.729104068,8.626869837,8.150717057,8.578297205,8.654865123
COMMD3,8.680816612,8.519954633,8.57728153,8.782654279,8.656110189,9.315088411,8.041850768,8.095776768,8.618014686,8.963318055,9.119773755,8.567796401,9.115699153,8.799016051,8.61296799,9.015743977
NCS1,2.272829439,2.021575667,4.372144185,5.437514065,5.516182233,5.872653951,5.616869325,2.243991945,3.184691301,3.759826946,2.140726312,2.226187895,2.21341261,4.096236548,5.307395736,5.538398481
ZFPM2,5.100948222,1.204904442,4.304474536,4.543056574,0.705394072,4.566017495,0.849951236,3.790719916,4.402619864,-0.389740277,2.055299791,1.921851408,4.216811808,1.452300224,1.127824746,4.443626541
KCNH4,5.557964489,1.874871705,4.560421495,1.582965391,2.61083705,5.289045045,5.137007512,2.718604932,3.767326394,2.753371342,3.22926951,3.014810527,4.157173094,4.163096138,4.219362158,2.618280949
MLYCD,7.9905862,7.783653086,7.530094158,7.857135029,7.834369916,6.423647077,6.868192878,7.361768359,7.846474511,7.992711791,7.912584003,8.259931531,7.94383344,7.676521302,7.878805026,8.08366547
CRB1,4.199483899,2.142870845,6.013046811,2.5570179,0.479303005,2.987217163,3.572489538,3.026686764,1.123189413,1.919485012,3.613401993,3.34020618,1.879215637,2.920384776,2.866033592,5.167129076
ITGB3BP,7.363416413,7.371497878,7.585608563,7.583255805,7.414752877,9.173639663,6.832143163,7.306143736,7.024064756,7.040300682,7.571320339,7.079740766,7.467915248,7.980219566,7.384187989,7.477256372
TMED3,8.457799467,8.430799593,8.686710613,8.600303209,8.695917279,9.073158811,8.074644578,8.142857574,8.233288921,8.865594097,8.928311098,8.693877199,8.837296785,9.047012092,8.881422967,9.098800614
TDRD7,8.72106842,8.913233507,8.960879449,8.708125145,9.061506207,9.533177862,10.75648127,11.18204667,10.57783476,10.2571403,9.471628478,9.352555508,9.472556818,9.527641206,10.08257487,9.42003389
GRIP1,1.778881397,2.494612735,1.175205209,0.919774828,1.694581596,1.866623169,2.208470439,0.965706723,0.314348497,0.341143218,1.270014564,3.599436823,0.253154258,1.779864832,1.708783177,2.488553569
SLC7A8,3.674720512,1.485102184,3.199403802,5.432859217,3.924318459,3.851219331,5.334389501,5.208915179,1.660180203,1.450126457,2.073607754,5.428581271,2.911106717,2.023344076,4.367881231,2.320620421
RYBP,11.23174919,11.23529027,11.37981696,11.33920978,10.85065568,10.38554967,11.29340842,10.87986655,11.14054862,10.37293034,10.93369803,11.39145842,9.998110862,11.07497766,11.08399781,10.59175608
TPSD1,2.390183405,4.527827276,5.885935481,2.749291832,2.83318561,5.041720472,3.480795047,2.805447243,5.37715152,2.47267492,2.383104283,1.32196849,2.680679923,2.083570806,1.09713881,3.320213154
AP4E1,3.486791589,1.566995327,0.744479745,4.277136729,1.56404642,1.127910567,4.566742104,4.740026269,3.518472193,-0.041237487,4.164029984,4.409003902,4.962183445,2.25242777,0.460700632,4.347488497
GPR161,4.05104141,4.405658868,2.609981843,3.57619559,2.369954977,5.354861158,4.905962163,4.245624958,3.532541389,1.227217372,2.656544421,2.288520985,2.657914343,0.625672611,1.90300741,2.167274421
RHOQ,9.263698775,9.337414514,8.717912855,9.891256644,9.741622034,9.131918679,9.771913632,9.840000515,10.00521751,9.088213166,9.233818573,9.316288321,9.006300829,9.683333279,9.314467688,8.800469615
LINC01565,2.947681117,3.048773259,3.175938109,2.914260263,1.828469107,1.91239694,2.894086289,2.666624812,1.990991154,2.079726262,2.66109057,2.595100203,2.13605026,2.935593639,1.618468905,1.620933554
TARDBP,8.511203139,8.957656371,9.090239477,9.099802773,8.594182754,8.65766144,8.047680156,8.03789283,8.391913755,8.917243768,9.036519818,8.346735328,8.996631661,9.076345309,8.898658822,8.746510962
CELA3B,4.766027936,2.877184729,1.819218548,4.724350134,4.270977379,3.924308957,6.216026028,5.417960502,3.912592386,3.962012192,3.103135032,4.782712589,5.120327055,5.621002738,2.500037171,3.787599627
ATP1B4,-0.018617852,-0.163967627,4.984133595,0.873356502,2.2521613,3.395131367,4.687323889,0.929154708,2.092978654,1.379787289,1.033588627,4.110430064,0.550388491,0.108383944,1.623628109,2.318776695
