Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
8.54E-05	0.005142257	8.54E-05	8.54E-05	8.54452E-05	7.74E-06	0.003936776	7.74E-06	7.74E-06	7.74278E-06	1	1	1	1	1	0.02146069	0.4647225	0.02146069	0.02146069	0.02146069
0.000377068	0.008469198	0.000377068	0.000377068	0.000377068	3.88E-05	0.06450395	3.88E-05	3.88E-05	3.88128E-05	1	1	1	1	1	0.04638651	0.2670024	0.04638651	0.04638651	0.04638651
0.00448253	0.01979768	0.00448253	0.00448253	0.00448253	1.28E-05	0.03087483	3.72E-06	1.28E-05	1.28356E-05	1	1	1	1	1	0.2806207	0.220414	0.2806207	0.1632855	0.25051735
0.000283935	0.001527706	0.000283935	0.000283935	0.000283935	3.70E-05	0.001170096	3.70E-05	0.000155961	9.64762E-05	1	1	1	1	1	0.007208225	0.01046916	0.007208225	0.007208225	0.007208225
0.001027911	1.21E-05	0.001027911	0.001027911	0.001027911	0.000458903	0.03528001	1.47E-08	0.000698042	0.000578472	1	1	1	1	1	0.04638651	0.331676	0.04638651	0.04638651	0.04638651
0.000790946	3.21E-06	0.000790946	0.000790946	0.000790946	0.000824783	0.01659011	5.73E-10	0.003341056	0.002082919	1	1	1	1	1	0.07538976	0.4998609	0.2526658	0.5483189	0.37626335
0.002030165	2.50E-06	0.002030165	0.002030165	0.002030165	0.000226494	0.03990595	6.88E-10	0.001571304	0.000898899	1	1	1	1	1	0.2615524	0.4647225	0.2806207	0.2806207	0.2806207
0.002859386	1.43E-05	0.002859386	0.002859386	0.002859386	0.000347587	0.03355148	2.75E-09	0.003294152	0.00182087	1	1	1	1	1	0.07538976	0.2670024	0.1647065	0.07683072	0.12076861
0.000955805	0.000187825	0.000955805	0.000955805	0.000955805	0.000212712	0.02091602	1.14E-12	0.001754735	0.000983724	1	1	1	1	1	0.07538976	0.03000122	0.1238529	0.1635064	0.09962133
2.06E-07	0.00176132	2.06E-07	2.06E-07	2.06493E-07	2.32E-10	0.02434353	2.32E-10	2.32E-10	2.31584E-10	0.4120336	1	1	1	1	0.07538976	0.3698103	0.1683094	0.1683094	0.1683094
