Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Median_Sensitivity	Sample	Enrichr_Colorectal_Cancer	Enrichr_Alzheimers_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Median_Sensitivity
56.25	71.42857	62.5	50	59.375	18.75	0	25	20	19.375	0	0	0	0	0	GSM2058034					
50	71.42857	75	60	65.714285	56.25	28.57143	37.5	50	43.75	0	0	0	0	0	GSM2058035					
50	57.14286	62.5	50	53.57143	43.75	28.57143	50	40	41.875	0	0	0	0	0	GSM2058036					
56.25	57.14286	50	60	56.69643	62.5	28.57143	50	90	56.25	0	0	0	0	0	GSM2058037	26.66667	14.28571	25	33.33333	25.833335
56.25	28.57143	75	60	58.125	68.75	28.57143	75	70	69.375	0	0	0	0	0	GSM2058038	14.28571	0	12.5	11.11111	11.805555
50	42.85714	62.5	60	55	43.75	0	50	50	46.875	0	0	0	0	0	GSM2058039	33.33333	57.14286	25	33.33333	33.33333
62.5	57.14286	87.5	60	61.25	37.5	28.57143	50	70	43.75	0	0	0	0	0	GSM2058040	0	0	0	0	0
43.75	57.14286	75	50	53.57143	56.25	28.57143	50	70	53.125	0	0	0	0	0	GSM2058041	8.333333	16.66667	0	11.11111	9.7222215
50	57.14286	62.5	60	58.57143	68.75	28.57143	100	70	69.375	0	0	0	0	0	GSM2058042	8.333333	0	0	0	0
50	57.14286	87.5	70	63.57143	62.5	0	75	80	68.75	0	0	0	0	0	GSM2058043	18.75	14.28571	0	0	7.142855
