ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
41117,8.82105,8.9796,9.03465,8.91505,8.8816,8.0067,9.13635,8.833,8.8646,8.9681,8.7144,9.07895,8.9715,8.99025,9.1129,8.9685,8.678,8.7196,8.78205,8.50165,8.9209,8.7974,8.3225,8.9544,8.87425,8.87805,8.385,8.9061
41120,6.76125,6.72165,6.5936,7.4172,6.8617,8.0687,7.06095,7.10615,6.924,7.30865,7.11465,6.9161,6.93885,6.7673,6.886,7.0093,7.6565,7.46655,6.83135,7.6785,7.34335,7.25695,7.6278,7.3314,7.67395,6.7092,8.35355,6.66365
41127,9.74595,9.90235,9.81855,9.47525,9.32555,8.8619,9.5713,9.52395,9.3694,9.7143,8.68615,10.2805,9.78485,10.089,9.72275,10.2455,9.34375,9.5245,9.6929,9.6101,9.17995,9.73325,9.43375,10.01855,9.9194,9.83935,9.74895,9.84555
41129,8.4679,8.2408,8.18065,8.5501,8.5839,6.9421,8.60615,8.67675,8.4933,7.7622,8.9481,8.60125,8.36235,8.45735,8.16425,8.43295,7.70445,8.23985,8.8271,7.5721,7.90855,8.54155,7.46815,8.62665,8.31615,8.24125,7.4551,8.6026
41131,7.03855,6.89615,6.4702,7.2202,6.85905,7.783,6.7984,7.0782,6.74275,7.4331,7.20465,7.2694,7.0823,7.1223,6.8503,7.31345,7.3401,7.22335,7.02485,7.1925,7.1006,7.3257,7.5231,7.1561,7.26425,6.6381,7.79995,6.94545
41132,7.80645,7.6818,7.7434,8.09765,8.0882,8.19355,7.88055,8.31935,7.85615,8.1054,8.2393,7.88595,7.4897,7.97955,7.40185,7.44325,8.12285,7.79995,8.0566,8.07575,8.0965,7.7619,8.4492,8.0257,8.17225,7.6055,8.42345,7.8317
41133,9.23685,9.2847,9.3179,9.30585,9.6468,8.69735,9.36315,9.2142,9.13765,8.9278,9.873,9.4785,9.56755,9.0991,9.46845,9.2327,9.286,9.1258,9.45705,8.9505,9.64345,9.22065,8.43145,8.9864,9.17145,9.26225,8.75805,9.5757
41137,9.94655,9.89555,9.2415,9.22115,10.165,9.3831,10.243,10.209,9.82815,10.06955,9.99755,9.82325,10.2035,9.80675,9.7114,9.72855,9.40695,9.88085,9.87815,9.4402,10.0875,9.90705,9.4379,10.0076,9.9018,10.1855,9.7045,9.26305
41138,8.58335,8.5245,8.37945,8.55015,8.4613,7.5543,8.52765,8.5551,8.58485,8.20535,8.9554,8.3806,8.0489,8.526,8.46325,8.5091,7.968,8.65635,8.5345,7.8254,8.1284,8.6076,7.93965,8.45065,8.55675,8.42425,7.85355,8.5293
41140,11.9365,12.139,11.9645,12.059,11.9345,11.7805,12.0165,11.53,11.468,11.847,11.476,11.1755,12.3255,11.1875,12.3385,12.03,11.6685,11.9755,11.6775,11.9955,11.4795,12.0695,11.5315,11.757,11.776,11.858,11.63,11.8385
