,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM256194,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 071",1
GSM256192,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 072",1
GSM256193,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 078",1
GSM252811,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 025",1
GSM256206,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 040",1
GSM252813,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 057",1
GSM252814,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 058",1
GSM252815,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 063",1
GSM252816,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 069",1
GSM252817,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 074",1
GSM256195,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 087",1
GSM256200,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 090",1
GSM252818,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 093",1
GSM252819,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 094",1
GSM252820,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 095",1
GSM252822,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 098",1
GSM252823,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 102",1
GSM252824,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 103",1
GSM252825,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 112",1
GSM252826,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 114",1
GSM252827,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 119",1
GSM256197,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 120",1
GSM256196,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 122",1
GSM256198,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 125",1
GSM256203,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 127",1
GSM256199,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 129",1
GSM256201,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 130",1
GSM256202,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 134",1
GSM256204,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 136",1
GSM256205,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 141",1
GSM256207,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 151",1
GSM256210,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 155",1
GSM256208,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 159",1
GSM256212,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 161",1
GSM256211,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 167",1
GSM256209,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,l_smoker,"large airways, smoker 169",1
GSM114092,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 008, MAS5",0
GSM252830,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 014",0
GSM114094,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 015, MAS5",0
GSM114095,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 020, MAS5",0
GSM254163,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 024",0
GSM252833,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 036",0
GSM252834,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 044",0
GSM252835,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 046",0
GSM252836,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 059",0
GSM252837,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 068",0
GSM252838,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 074",0
GSM252839,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 080",0
GSM254169,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 093",0
GSM252840,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 094",0
GSM252841,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 103",0
GSM254172,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 110",0
GSM254173,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 114",0
GSM254174,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 119",0
GSM254175,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 122",0
GSM254176,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, COPD 134",0
GSM252842,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 001",0
GSM252843,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 009",0
GSM252844,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 012",0
GSM252845,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 021",0
GSM252846,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 037",0
GSM252847,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 045",0
GSM252848,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 053",0
GSM252849,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 054",0
GSM252850,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 064",0
GSM252851,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 086",0
GSM252852,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 114",0
GSM252853,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 132",0
GSM252854,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,COPD,"small airways, early-COPD 145",0
GSM190149,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"Small airways, non-smoker 011",1
GSM190150,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"Small airways, non-smoker 029",1
GSM190151,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 034",1
GSM190152,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"Small airways, non-smoker 035",1
GSM190153,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"Small airways, non-smoker 036",1
GSM298219,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 039",1
GSM190155,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"Small airways, non-smoker 042",1
GSM190156,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 044",1
GSM254149,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 045",1
GSM298220,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 046",1
GSM298221,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 047",1
GSM298222,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 048",1
GSM298223,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 050",1
GSM298224,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 055",1
GSM254150,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 059",1
GSM298225,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 065",1
GSM254151,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 071",1
GSM298226,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 072",1
GSM298227,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 076",1
GSM254152,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 078",1
GSM298228,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 080",1
GSM298229,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 083",1
GSM300859,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 085",1
GSM300860,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_non_smoker,"small airways, non-smoker 088",1
GSM252871,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 040",1
GSM252876,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 057",1
GSM114089,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 058, MAS5",1
GSM114090,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 063, MAS5",1
GSM252878,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 069",1
GSM252879,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 074",1
GSM298230,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 087",1
GSM252880,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 093",1
GSM252881,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 094",1
GSM252882,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 095",1
GSM252884,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 098",1
GSM298231,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 102",1
GSM252885,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 103",1
GSM254157,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 112",1
GSM254158,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 114",1
GSM254159,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 119",1
GSM298232,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 120",1
GSM298233,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 122",1
GSM298234,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 123",1
GSM298235,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 125",1
GSM298236,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 129",1
GSM298237,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 130",1
GSM298238,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 134",1
GSM298239,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 136",1
GSM298240,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 141",1
GSM254160,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 152",1
GSM298241,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 155",1
GSM298242,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 159",1
GSM298243,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 161",1
GSM298244,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 164",1
GSM298245,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 167",1
GSM254161,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 169",1
GSM298246,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 176",1
GSM298247,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 177",1
GSM300861,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,s_smoker,"small airways, smoker 183",1
