,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM252799,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 002",1
GSM256188,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 006",1
GSM252803,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 011",1
GSM252805,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 035",1
GSM256181,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 036",1
GSM256182,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 038",1
GSM256183,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 040",1
GSM256184,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 041",1
GSM252806,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 042",1
GSM252807,Homo sapiens,RNA,airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 044",1
GSM256187,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 045",1
GSM256186,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 047",1
GSM256185,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 050",1
GSM256191,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 059",1
GSM256189,Homo sapiens,RNA,large airway epithelial cells obtained by bronchoscopy and brushing,lnon_smoker,"large airways, non-smoker 065",1
