ID_REF,GSM313263,GSM313264,GSM313265,GSM313266,GSM313267,GSM313268,GSM313269,GSM313270,GSM313271,GSM313272,GSM313273,GSM313274,GSM313275,GSM313276,GSM313277,GSM313278,GSM313279,GSM313280,GSM313281,GSM313282,GSM313283,GSM313284,GSM313285,GSM313286,GSM313287,GSM313288,GSM313289,GSM313290,GSM313291,GSM313292,GSM313293,GSM313294,GSM313295,GSM313296,GSM313297
19980,8.07895,7.9527,8.36975,6.70205,7.1847,6.763,7.79655,7.72375,7.3176,7.4388,6.92415,7.2041,6.8847,7.4025,8.1671,7.5753,7.8236,7.1982,7.72225,7.1149,6.731,9.8208,7.8891,6.9924,8.40095,7.15695,8.12205,6.98915,8.5648,7.23245,7.51615,7.264,7.32325,7.0828,6.73605
19982,7.70375,7.2379,7.5886,9.13315,7.33675,7.8639,7.87145,7.73315,7.1779,7.64775,7.52205,9.35315,7.74825,7.3963,9.6776,9.0654,9.1377,9.09085,7.39125,6.943,7.41805,8.4851,7.5236,7.3772,9.41605,7.7612,7.61025,7.423,7.94895,8.31905,8.2812,7.3068,7.71525,7.73015,7.26635
19983,9.27285,9.1649,9.17685,9.6929,9.70145,9.844,9.80125,9.2646,9.7356,9.4148,10.2265,9.8196,9.67045,9.13545,10.0342,9.84245,9.16645,9.996,9.5127,9.7409,9.6027,8.094,9.0832,9.60885,9.1779,9.52325,8.9897,9.2698,9.29735,9.46295,9.7161,9.7599,10.10655,9.67655,10.0819
19985,8.93375,8.73555,11.394,8.0955,8.43905,10.20825,8.39035,8.29095,9.0319,8.5071,8.8891,7.9656,8.28895,8.1218,8.473,9.00775,8.4993,8.37415,8.4412,8.80435,8.6666,8.13565,8.02725,8.7262,8.27425,8.5089,13.0295,8.34235,7.88725,8.102,8.9702,8.46595,8.2912,8.9388,8.7579
19988,8.41665,7.3802,7.9239,7.8493,8.37735,8.0876,7.6281,8.00135,7.57915,7.7947,7.55725,7.8319,7.7058,7.69435,7.9763,7.37775,8.4741,8.55925,7.9859,8.5325,7.6146,7.87885,7.95535,7.7151,7.23355,7.4828,8.42025,7.8505,7.85365,8.3553,8.17285,7.49095,8.599,7.76555,8.2377
19991,9.6602,8.1077,8.24875,8.79135,9.06335,8.7671,9.6057,8.845,11.123,9.61085,8.7033,8.4095,9.0817,8.3466,8.1822,8.07145,10.2281,9.33825,10.08575,10.131,9.34195,8.3563,9.0914,9.02405,9.0189,8.6993,8.8815,8.6673,9.091,9.147,9.74165,8.62965,9.5599,9.5537,8.7611
19999,8.5001,8.206,8.8566,8.9345,8.92975,9.0409,8.43685,9.1041,9.12895,8.94855,9.29725,9.0437,8.944,8.68515,8.2695,8.65055,9.2851,9.5701,8.8875,8.7567,8.7071,7.3616,8.3143,8.85235,8.5634,8.84895,9.1753,9.02105,8.63375,8.7792,9.28345,8.6696,8.6328,9.01735,8.9533
20002,7.39585,8.3357,8.4208,8.30955,8.4882,8.1863,7.82575,8.5155,8.8909,8.17075,8.8737,8.3172,8.62535,8.1316,8.03195,8.646,8.05315,8.34385,8.38895,8.38165,7.7792,6.8745,8.13715,8.4599,8.27745,8.4506,7.73355,8.338,7.89545,8.578,8.3171,8.2386,8.52265,9.18885,8.44765
20004,8.1306,8.79755,9.52215,7.5963,7.98995,8.66455,8.7045,8.595,8.3036,8.41665,8.921,8.145,7.9682,8.0561,8.8387,8.72655,8.80275,8.63535,8.9256,8.77775,8.49505,8.32225,8.436,8.1023,8.63295,8.0928,9.2364,8.4217,9.34205,8.47165,9.52115,8.55095,8.3405,8.43485,8.56365
20005,7.3769,8.1693,8.03345,7.6611,7.7009,7.01735,7.61135,7.3532,7.96495,7.4985,7.6273,7.847,7.35095,7.9335,7.6639,8.3473,7.3453,7.85215,8.01525,7.8211,8.3191,7.73605,7.7729,7.7253,8.1027,7.98625,7.42245,8.0607,7.8006,7.4744,7.58405,8.39825,7.63005,7.95205,7.81545
20007,10.08055,9.9381,9.17695,9.527,8.4677,10.3055,8.0252,9.9985,11.774,8.2971,12.1235,10.7535,9.82845,9.0657,10.566,10.8865,10.796,11.4295,10.762,9.87885,9.04385,8.47795,11.1985,10.6125,11.4995,10.73395,9.8938,10.6295,12.2585,10.975,11.189,8.68455,10.592,12.1125,11.836
20010,7.51475,8.0644,8.1292,8.16925,7.54265,7.06465,7.78355,7.955,7.6653,7.38595,6.91765,8.6151,8.10055,8.01825,7.4473,7.53325,7.51495,7.1281,7.91525,7.6673,8.48215,8.07975,8.0526,7.125,8.65265,6.92215,7.7075,7.2683,8.18985,7.7489,7.49555,7.3765,7.50155,7.2161,7.2788
20021,7.2064,7.67305,8.0716,6.37,7.0028,6.7235,6.96155,7.51175,7.47595,7.0164,6.8856,6.7476,6.5459,6.9581,7.47565,7.50575,7.1447,6.66375,7.854,6.94175,6.5627,8.21295,7.43715,6.602,7.5468,6.78915,7.721,6.72595,8.39015,7.2182,7.07535,6.96805,6.75755,6.88235,6.5768
20030,7.04965,7.8989,7.8864,6.68465,6.7413,8.17275,7.41,7.90975,7.84155,8.3062,6.62925,8.09595,8.5694,6.7544,7.96275,6.84275,7.3246,8.08305,7.673,8.3437,6.7345,7.21585,6.99525,8.10925,7.01375,8.68985,6.9137,7.1649,7.59625,7.29145,7.51475,7.0069,6.936,8.056,8.05945
20033,9.4197,9.3769,8.6728,9.7016,9.58,9.21585,9.05835,9.7239,9.6266,9.62175,9.44035,9.16415,9.72115,9.3933,9.25045,9.27625,9.16965,9.16655,9.5768,9.77245,9.2932,8.77645,8.88465,9.5507,8.8923,9.10745,8.9553,9.4082,10.04445,9.31575,9.61635,9.46525,9.3102,9.25435,9.7199
20039,7.74135,7.80935,7.7956,7.24145,7.3076,6.9379,8.02965,7.24445,7.37435,7.24515,6.91765,7.0774,6.81765,7.47765,7.85985,7.70565,7.23505,7.4023,7.5179,7.21545,7.41635,8.605,7.4503,6.8135,7.78855,7.27495,7.7014,7.36435,8.19515,6.93775,7.50055,7.6079,7.1196,7.01995,7.1663
20043,8.90795,10.412,8.3416,9.4072,9.6072,9.5445,10.04265,9.89855,9.4577,9.9033,9.60495,9.0271,9.8757,10.04105,8.57225,10.0297,10.13085,9.7473,9.4724,10.1479,9.9535,8.74775,9.1524,9.0664,9.80425,9.9628,9.9576,9.99605,8.80385,9.4409,9.9588,10.08835,9.3405,9.15755,9.44795
20046,9.71755,9.62415,9.36305,10.3015,10.394,10.3465,10.0465,10.4155,10.3154,10.4175,10.911,9.5025,10.08455,9.7204,11.085,10.03385,10.18125,10.7655,10.15535,10.02015,9.69855,7.961,9.4331,10.3515,10.48,10.757,9.864,9.97755,9.8115,10.535,10.519,10.4915,11.0165,10.7935,10.355
20051,7.41395,7.8451,7.22225,7.987,8.77915,8.89285,7.95635,8.59135,7.962,8.1749,7.8952,8.14765,7.92145,8.09705,7.22165,7.7824,7.94685,7.9502,7.3904,8.22615,7.87,6.94965,7.3803,8.85805,7.7229,7.9832,7.16475,8.3823,7.01515,7.95075,8.35805,8.60235,8.22305,7.98905,8.41285
20057,9.5192,7.661,7.5146,8.54155,9.19475,9.13825,8.02105,8.79625,9.39165,8.4236,8.1819,8.25055,9.2451,8.43015,7.62285,7.6191,9.5327,9.0456,8.21425,8.6955,8.97675,6.88755,7.9528,8.68785,8.35605,8.6119,8.7719,8.2139,7.9197,8.45405,8.5533,8.29145,8.51845,8.3475,8.2537
20061,11.38,11.296,10.36095,11.7095,11.4625,9.913,11.5065,10.433,10.353,11.3655,10.398,11.227,10.983,12.0845,9.8487,10.72,10.774,11.953,11.9265,10.4635,12.0565,12.347,11.193,10.923,10.7835,11.184,10.6925,13.2675,11.041,10.2915,11.002,11.61,11.335,9.81625,10.687
20065,11.546,10.631,11.0435,10.918,11.5125,11.1035,10.5435,11.455,11.1575,11.1225,11.5575,11.074,12.1345,11.284,12.224,11.476,10.767,10.5335,11.0235,10.9845,11.0235,10.83,10.9855,11.5765,11.042,11.23,11.1065,11.208,12.4465,11.218,11.1415,11.019,10.758,10.8395,11.439
20067,9.66095,8.891,8.4911,9.4227,10.113,9.9892,9.98965,9.6566,10.0091,9.7683,8.7516,9.53655,9.8196,9.7873,8.1032,9.62185,10.4615,9.88165,9.78425,10.0154,9.63785,8.13605,10.19825,9.9581,9.27895,9.4179,9.12575,9.19145,9.34245,9.52005,10.2375,9.72305,9.15985,9.8479,9.2957
20068,8.7657,9.1364,9.2845,7.6906,7.80775,7.70015,8.42705,8.28915,8.12805,8.03655,8.60485,7.7865,7.7043,7.89425,9.11905,8.5159,8.37095,7.99865,8.2009,7.74845,7.6263,9.80565,8.79995,7.66525,8.6978,7.6363,8.8142,7.6855,9.36895,7.86655,8.091,8.0562,7.9394,8.18325,7.6212
20069,9.71025,9.23995,8.8444,10.18585,10.08215,9.58815,9.7742,9.12,10.8785,8.96905,10.443,9.88065,9.44435,10.00355,10.8895,10.2588,8.97115,9.3792,9.4058,9.35135,9.39715,8.747,9.19105,9.8546,9.78315,9.5394,9.4301,9.4889,9.22995,9.7713,9.63485,9.8023,9.8327,10.765,10.16865
20075,8.72375,8.3882,8.1926,8.6172,9.08775,9.0833,8.7475,8.614,8.77705,9.0275,8.84055,9.3089,8.7777,8.6763,8.7641,8.90525,9.58225,10.13735,9.0575,9.2447,9.5774,7.47115,8.9963,8.7333,8.6383,8.9649,8.2265,9.16885,7.98905,8.8036,9.77045,8.9258,9.28895,8.89135,9.3505
20076,10.5445,7.82115,7.75865,9.7678,9.0703,8.15165,9.2937,9.15245,7.7573,9.16995,9.56,8.59565,8.7785,9.2747,8.46045,9.19345,8.91785,8.53845,8.7347,8.3612,8.945,8.5625,9.7132,9.45845,9.9892,9.0781,8.4534,9.0196,7.87615,9.42825,7.88285,8.56745,8.2456,8.9443,8.12575
20077,7.2868,7.4202,7.6279,8.71355,8.0007,8.2252,7.7978,7.8997,7.6132,8.3371,8.63245,7.90245,8.0093,7.92255,7.5234,7.5162,7.5659,7.92215,7.8208,8.31545,7.87585,7.1075,7.4076,8.3773,7.2604,8.14375,7.36475,8.046,7.7005,7.6726,8.1789,8.64,8.728,7.82945,7.9827
