,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM258551,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_10,1
GSM258552,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_16,1
GSM258553,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_22,0
GSM258554,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_24,1
GSM258555,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_25,0
GSM258556,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_30,0
GSM258557,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_37,0
GSM258558,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_40,1
GSM258559,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_49,1
GSM258560,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_51,1
GSM258561,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_53,1
GSM258562,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_55,0
GSM258563,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_65,0
GSM258564,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_70,1
GSM258565,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_75,0
GSM258566,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_77,0
GSM258567,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_84,1
GSM258568,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_88,1
GSM258569,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_89,1
GSM258570,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_95,0
GSM258571,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_97,1
GSM258572,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_113,1
GSM258573,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_136,1
GSM258574,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_137,1
GSM258575,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_147,1
GSM258576,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_148,1
GSM258577,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_161,1
GSM258578,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_165,0
GSM258579,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_169,1
GSM258580,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_188,0
GSM258581,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_202,1
