,Organism,Sample_type,Sample_source_name,subtype,Sample_description,Normal
GSM258582,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_210,1
GSM258583,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_215,0
GSM258584,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_233,1
GSM258585,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_248,0
GSM258586,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_271,1
GSM258587,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_273,1
GSM258588,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_276,1
GSM258589,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_282,1
GSM258590,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_301,0
GSM258591,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_331,1
GSM258592,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_334,1
GSM258593,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_342,1
GSM258594,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_347,0
GSM258595,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_348,1
GSM258596,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_364,0
GSM258597,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_368,1
GSM258598,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_378,1
GSM258599,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_390,0
GSM258600,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_397,1
GSM258601,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_400,1
GSM258602,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_402,1
GSM258603,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_SCC,NSCLC_SCC_412,0
GSM258604,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_426,1
GSM258605,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_434,1
GSM258606,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_445,1
GSM258607,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_489,1
GSM258608,Homo sapiens,RNA,human non-small cell lung cancer tumor tissue,NSCLC_AC,NSCLC_AC_492,1
