ID_REF,GSM1276660,GSM1276661,GSM1276662,GSM1276666,GSM1276667,GSM1276668
7892584,5.02273,4.79801,4.24172,4.65174,5.81349,4.74031
7892585,4.2401,4.1048,4.22475,4.57651,4.70821,3.97209
7892586,2.81894,2.83836,2.02818,4.48118,4.01933,2.97381
7892587,4.85336,4.58946,4.81052,5.72599,5.42807,5.36215
7892588,1.31775,1.36331,0.92835,1.02635,1.135,1.13267
7892589,2.55484,2.38612,2.0255,2.6099,2.47611,2.95368
7892590,1.72114,2.91818,2.20713,2.68835,2.95944,1.30748
7892591,1.14995,1.06269,1.30678,1.61042,2.02425,1.19985
7892592,4.93002,4.6455,5.25841,5.45302,5.55694,5.16729
7892593,3.36487,3.49258,3.50938,4.16498,3.01203,2.60013
7892594,3.44715,2.83714,2.32013,3.32396,4.12015,2.84973
7892595,1.97595,2.90547,1.37816,3.60745,2.28892,3.23757
7892596,4.27413,3.72383,3.56658,3.03677,3.69802,2.85319
7892597,3.06619,2.93173,3.71297,4.35611,4.28524,3.99511
7892598,9.45587,9.15575,9.36793,8.97293,9.05243,8.67947
7892599,9.87385,9.9613,9.92182,9.25707,9.39038,9.16941
7892600,1.96524,1.6408,1.83778,2.63494,2.73864,2.42931
7892601,4.52455,4.80162,4.70218,4.83547,4.62311,4.92489
7892602,0.84776,1.28447,1.08797,1.56978,1.69037,1.01168
7892603,2.28311,1.66892,1.99877,3.91122,3.43001,2.94594
7892604,1.7471,2.69833,2.81717,2.87451,2.93743,1.51283
7892605,7.82515,7.08861,7.50809,7.0249,7.22888,6.17056
7892606,10.70398,10.48939,10.87817,11.14471,10.92513,10.95041
7892608,6.54844,6.66419,6.76406,7.72172,7.47231,7.13514
7892609,0.74842,1.4005,1.4005,2.34444,2.06254,3.19129
7892610,5.64041,2.41826,4.5025,5.19421,5.74793,3.90125
7892611,0.60256,0.72711,1.42173,0.69564,0.44478,0.92679
7892612,2.3854,1.56175,1.58157,1.45449,1.89887,1.3466
7892613,7.56967,7.67805,8.04329,8.5547,8.27034,8.26155
7892614,3.52129,3.68596,3.21475,2.71971,3.57125,3.55923
7892615,4.05036,4.44785,4.2888,4.59109,3.74734,3.92626
7892616,1.06478,0.73422,1.02838,1.14582,1.61684,0.96318
7892617,10.94552,10.69726,11.1144,11.35765,11.49701,11.22065
7892618,4.96417,4.47531,5.68213,6.15801,6.46311,5.88539
7892619,2.9457,2.35116,3.78881,2.98109,3.65072,3.3684
7892620,8.94874,8.94795,8.85772,8.20397,8.21714,8.56588
7892621,11.57787,11.59033,11.55979,11.41167,11.43896,11.29637
7892622,9.34369,8.77842,9.49438,8.76756,8.89351,8.66735
7892623,8.74295,8.75079,8.69817,8.13212,8.30613,8.09851
7892624,2.14121,2.45084,1.64273,1.56474,2.03024,2.08797
7892625,5.8408,5.83515,5.47708,4.7119,5.28074,5.3236
7892626,3.05097,2.86341,4.14085,3.45819,3.6806,3.23731
7892627,6.5212,6.22408,6.48095,6.62459,6.57234,6.79033
7892628,7.87996,7.117,7.71467,7.5381,7.45075,7.29366
7892629,5.39889,4.72704,5.04927,5.64097,5.17676,4.78094
7892630,8.44574,7.96088,8.45075,9.13664,9.12162,8.90882
7892631,1.26545,0.90605,1.27409,1.56399,1.86614,1.19918
7892632,3.3309,2.27838,2.77416,2.48235,2.95644,2.5948
7892633,5.97267,5.82985,5.8324,5.84135,6.78359,6.00701
7892634,6.07712,6.561,6.79372,7.21084,7.09558,6.9836
7892635,6.51236,6.76021,6.71025,6.81238,7.03562,7.14801
7892636,6.16359,6.3923,5.96482,7.36145,7.16095,6.78045
7892637,6.31922,6.80058,6.64047,6.09155,6.74717,6.48789
7892638,0.72789,1.36927,1.02827,1.00217,1.2045,0.83818
7892639,6.84474,7.00851,6.74006,7.75186,7.46695,7.69997
7892640,11.28824,10.95895,11.23916,10.95488,11.11775,10.85587
7892641,4.45725,3.65105,4.03357,3.69887,4.50874,3.67229
7892642,8.17747,8.37045,8.37582,9.0189,8.36556,8.93964
7892643,9.11667,9.1206,8.70644,8.43029,8.31007,8.7184
7892644,9.47052,9.0695,9.29685,9.4942,9.6081,9.27025
7892645,0.81933,1.43941,1.71188,1.42852,1.62914,0.87316
7892646,1.50433,0.97699,1.71312,1.44439,1.76381,1.26957
7892647,3.18116,2.95247,3.34571,3.68773,4.56153,3.57436
7892648,9.32356,9.47396,9.47531,8.86843,8.83757,8.94275
7892649,2.08065,3.58967,2.37782,2.75783,3.18558,3.24949
7892650,11.46758,11.45122,11.36495,11.19444,10.99994,11.23669
7892651,1.84704,1.8229,1.50646,2.2748,1.64422,1.98258
7892652,11.8443,11.73607,11.82985,11.73378,11.76959,11.74309
7892653,1.32176,1.63445,2.09546,1.97416,2.49476,1.71594
7892654,6.22677,6.02304,6.59212,7.74093,7.36234,7.17341
7892655,2.55059,3.13052,3.47586,2.36997,2.97155,2.87822
7892656,2.10681,3.42874,3.28639,2.58697,3.56496,2.89749
7892657,1.53037,1.32601,1.94796,1.66094,1.56837,1.35454
7892658,0.9148,1.0725,1.93729,1.53409,1.2355,1.90617
7892659,2.06732,1.18455,1.11497,2.15714,2.83762,2.72544
7892660,0.74842,0.46716,0.72118,0.38954,0.44478,0.60752
7892661,10.8701,10.76938,10.63043,10.77738,10.7359,10.91931
7892662,6.9152,6.69542,6.48421,6.22476,6.49129,6.45039
7892663,11.59471,11.45795,11.56125,10.86024,10.81791,10.90746
7892664,3.30464,4.45749,3.97965,3.70785,3.24909,3.3275
7892665,4.97018,4.91152,5.08174,4.62369,4.09448,4.98245
7892666,3.13624,2.58511,3.27971,3.54043,3.9694,3.57534
7892667,9.0529,9.16959,8.89131,9.29894,9.43195,9.1082
7892668,10.36201,10.50499,10.47703,10.26796,10.36572,10.29896
7892669,5.67185,5.10622,5.01906,7.25504,7.21925,7.07353
7892670,7.68851,7.54889,7.90556,7.5637,7.99664,7.7256
7892671,3.55121,3.27626,3.69618,2.46403,2.36169,2.79405
7892672,3.48329,2.93798,2.06505,3.79616,3.20054,1.88675
7892673,3.94522,5.08589,4.63061,5.41028,4.11707,4.75183
7892674,7.63351,7.23518,6.97561,6.67669,6.90444,6.50857
7892675,3.21341,2.38407,3.94396,4.19905,4.96706,5.77015
7892676,3.01054,3.45692,2.60968,3.11823,4.231,2.6813
7892677,8.6706,8.42684,8.23278,9.21923,8.98108,8.97057
7892678,6.99184,7.04174,6.64975,6.17866,6.3209,5.98297
7892679,4.87205,4.77146,4.43537,4.95714,5.00647,4.95786
7892680,8.00166,8.07158,7.88486,8.1681,8.05239,7.94576
7892681,5.45188,5.66219,5.59288,6.03061,5.63576,6.06821
7892682,0.77529,1.01906,0.98755,1.6794,1.35581,0.92163
7892683,3.24523,3.91126,2.85692,3.85663,4.41379,3.38396
7892684,9.36444,8.80636,8.87357,8.62764,8.78825,7.86305
7892685,3.43141,3.14837,3.0621,3.33979,3.29653,3.20442
7892686,5.75683,6.11784,6.02868,6.13993,6.21928,6.70523
7892687,5.88027,5.5348,5.803,5.64164,5.81282,5.5993
